time,thrust,velocity,yaw,pitch,roll,battery,acc_x,acc_y,acc_z,gyro_roll,gyro_pitch,gyro_yaw,x (m),y (m),altitude,loop rate (Hz),target altitude (m)
0.0,0.0,0.0,0.5961842319890106,0.6860960931118864,0.33164286191274595,74,-0.010972637683153152,0.005605294369161129,1.0000791549682617,-0.06187760933637619,0.014922350457310676,-0.20115938782691956,0.6910332380934877,0.23772817069232022,0.0,272.8534998698933,0.0
0.051,0.0,0.0,0.5982301583920424,0.7301948695670779,0.35383577622632184,74,-0.011873677372932434,0.004752591252326965,0.9986004829406738,-0.39369098200798036,-0.0741939863204956,-0.09551609307527542,0.6871894422219877,0.24177458497101248,0.0,272.8534998698933,0.0
0.101,0.0,0.0,0.6017708610431115,0.7018541415614845,0.3307246952371826,74,-0.010250221006572247,0.006434719543904066,0.9999352097511292,0.04923920974731445,0.03919038716554642,-0.1672065556049347,0.6852051715368865,0.24401941934108284,0.0,272.8534998698933,0.0
0.151,0.0,0.0,0.6018646203494099,0.6574077818082611,0.32561113118030427,74,-0.01148553192615509,0.005251957103610039,0.9987593293190002,-0.2578268434047699,-0.1740583499908447,0.0505715012550354,0.6820040288478457,0.24795441423918338,0.0,272.8534998698933,0.0
0.202,0.0,0.0,0.6005325712107817,0.6651919715294456,0.265848624545024,74,-0.01337788999080658,0.003801704617217183,0.9989771842956543,-0.1426069821357727,0.08763166311979294,0.03573068976402283,0.6791562651283999,0.25129097715139576,0.0,272.8534998698933,0.0
0.252,0.0,0.0,0.6029806472559719,0.6653100779099673,0.29613950417244533,74,-0.010030366480350494,0.0047294399701058865,0.9961766600608826,-0.019773342752456666,-0.21988404002189635,0.005463156849145889,0.6758869692259825,0.25530909758215636,0.0,272.8534998698933,0.0
0.303,0.0,0.0,0.5976260343808195,0.6921714302970161,0.3254118779865928,74,-0.010767476633191109,0.005466441158205271,0.9991409778594971,0.08561754122972488,-0.14722654428482054,-0.05368461832404137,0.6753951224495784,0.2567240616968953,0.0,272.8534998698933,0.0
0.353,0.0,0.0,0.5944563549421675,0.6878440344474079,0.2710352057001992,74,-0.012348831631243229,0.003806593595072627,0.9966232180595398,0.15637726233005525,-0.07822165098190308,0.1968718022108078,0.6789113738453364,0.2563988742345452,0.0,272.8534998698933,0.0
0.404,0.0,0.0,0.5979557202455321,0.6889977427057181,0.2996063346086004,74,-0.012155179865658283,0.0033173682168126106,0.9991920590400696,-0.1339905793905258,0.0483241470515728,0.0452171228826046,0.6818288026739638,0.2549462479899762,0.0,288.5062594579722,0.0
0.454,0.0,0.0,0.597428276016521,0.6548058778163037,0.2758202501809697,74,-0.01168772205710411,0.0028840643353760242,0.9981848001480103,0.011802133998274802,0.020892141199111938,0.09984452277421951,0.687094690930724,0.25218747988822027,0.0,288.5062594579722,0.0
0.505,0.0,0.0,0.5977729075631185,0.6483695738017887,0.26701614590791006,74,-0.010131064802408218,0.004884510301053524,0.9984886646270752,-0.06146031721830368,0.016216704434156418,0.107734315097332,0.6894018620664626,0.250855107489592,0.0,288.5062594579722,0.0
0.555,0.0,0.0,0.5976019754517892,0.6664615672433363,0.2619058040137385,74,-0.010889421217143536,0.005395434331148863,0.9967923760414124,0.0991626893043518,-0.012869582699239254,-0.0018212448339909315,0.6936950731972119,0.2477104305940622,0.0,288.5062594579722,0.0
0.605,0.0,0.0,0.6005233328778913,0.6762653558529289,0.3047720556347048,74,-0.010898877866566181,0.005441245157271624,0.9990363717079163,-0.04872987150549889,-0.0970754047870636,0.09470503777265549,0.6984959658389015,0.24366351825289015,0.0,288.5062594579722,0.0
