time (s),yaw,pitch,roll,battery
0.0,-14.067895610726358,-1.9176028912327099,-4.982678088615463,58
0.021,-14.074827356292266,-1.9869465937597979,-5.177642422057989,58
0.041,-14.08163972889607,-1.4149702747106816,-5.29041217765011,58
0.062,-14.081895954462329,-1.1155722351699149,-5.329708633243551,58
0.082,-14.075551041560818,-1.2202343419216009,-5.430707519755031,58
0.102,-14.07908764351119,-1.2254285022653584,-5.828629029701255,58
0.123,-14.091866523894243,-1.0632130938660596,-6.145574718361189,57
0.143,-14.10368818013929,-0.9416244881464829,-6.041863934940902,57
0.164,-14.107129012963515,-0.9330007620603649,-5.806419954080248,57
0.184,-14.110242464835368,-0.807501872057972,-5.449338402985575,57
0.204,-14.116656552485653,-0.7451515792874907,-5.205079852426472,57
0.224,-14.111059407695466,-0.7053817481487227,-5.0454409710745916,57
0.244,-14.107310538912888,-0.5961228866565935,-4.966939993369163,57
0.265,-14.12080905476967,-0.478125124149347,-5.182666428357117,57
0.285,-14.132354980938121,-0.3802118093589164,-5.491566038804146,57
0.305,-14.132195856850988,-0.32045056569831654,-5.881711862092549,57
