time (s),yaw,pitch,roll,battery,acc_x,acc_y,acc_z,gyro_roll,gyro_pitch,gyro_yaw,x (m),y (m),altitude (m),loop rate (Hz),target altitude (m)
3.335,37.36754251779099,-0.2788807219450773,1.0680500442921084,56,0.022907784208655357,0.028271997347474098,0.9937330484390259,-0.10471960260868073,0.8855992237091065,70.55274200439453,-72.07224979936301,19.278221545280168,0.0,286.02727768685213,0.0
3.385,41.05877785194787,-0.42411519413414034,-0.5141898175065528,56,0.020852915942668915,0.006741514895111322,1.0025074481964111,0.12392099843025207,-0.041747046822309494,52.35304260253906,-72.18731359018462,19.30059170438149,0.0,286.02727768685213,0.0
3.435,43.53631738885798,-0.7058937225097913,0.780489580723097,56,0.015171714127063751,0.01855093240737915,0.9947672486305237,0.05299443275332451,0.16167509350776674,76.61129760742188,-72.35999699175115,19.334700400230727,0.0,286.02727768685213,0.0
3.486,46.821522289898404,-0.3745840250701704,0.10284744227838367,56,0.0018011978827416897,0.015640225261449814,0.9960626363754272,0.3161103938579559,-0.16766341235637663,29.08216094970703,-72.4751736949417,19.357884274152507,0.0,286.02727768685213,0.0
3.536,48.85506190176117,-0.4072977052755055,0.6903346363909412,56,0.004496091511100531,-0.0038697300478816032,0.9985621571540833,0.2265845005273819,0.240350736117363,38.00284957885742,-72.6480084445863,19.39334422399039,0.0,286.02727768685213,0.0
3.586,51.131926427087436,-0.25705327724464583,0.3499740494399601,56,0.0060956962406635284,0.0005247597582638264,1.002549648284912,-0.2175797159910202,0.007924306018650532,53.37520980834961,-72.76330571481442,19.417499405743236,0.0,286.02727768685213,0.0
3.637,54.01978963144474,-0.3560454286721678,0.1133231376621217,56,-0.00570752564817667,0.004473558627068996,0.9875808954238892,1.2594713483810425,1.589833585357666,39.679969787597656,-72.93636452835368,19.454527106596547,0.0,286.02727768685213,0.0
3.687,57.80175284456375,-0.45021706244497567,0.1260476134412169,56,-0.003852364607155323,-0.009587205946445465,0.9906411170959473,-0.06351519107222557,0.5886992493629456,68.32888793945312,-73.05179612657595,19.479751371334224,0.0,286.02727768685213,0.0
3.737,60.42774425475967,-0.3759295822568272,0.3069170709065153,56,-0.001099347253330052,0.025188880041241646,0.990329384803772,0.8524432097434997,0.3910232165813446,40.298561096191406,-73.22499262022102,19.518427369309276,0.0,286.02727768685213,0.0
3.788,63.07640576532675,-0.1793201774981785,0.05934196449054293,56,0.00531366653740406,0.00024037949333433062,1.0022914409637451,0.10264618591070175,0.17274997923374177,33.55698776245117,-73.34047086106936,19.54478202353802,0.0,286.02727768685213,0.0
3.838,64.59073746157013,-0.23444296085130328,0.3722977061316484,56,-0.00025880589964799583,0.004743456374853849,0.998729407787323,0.3597685013771057,0.17836166713237764,31.159358978271484,-73.51372104485222,19.585185145974577,0.0,285.3268027210884,0.0
3.888,66.73006413252676,-0.01161714979706548,0.012081426525186168,56,-0.00011285750952083617,0.011680212803184986,1.000785231590271,-0.8284365619659424,-0.15827389266490935,41.426536560058594,-73.62925798846837,19.612716187644345,0.0,285.3268027210884,0.0
3.941,68.22728399755206,-0.35433567113279374,0.5054827768912914,56,0.010332280769944191,0.01347874291241169,0.9910921454429626,0.4214674745559692,0.5894920507431031,44.53438186645508,-73.80259005851941,19.65489587925861,0.0,285.3268027210884,0.0
3.992,70.8848521526584,-0.5154998846728032,0.09678123881896893,56,0.01397035364061594,-0.019080618396401405,0.9956535696983337,0.02145249851644039,-0.16425077822208403,56.21897506713867,-73.9759634759961,19.69823608291288,0.0,285.3268027210884,0.0
4.042,73.29485809962087,-0.31612175672584986,-0.10820856599098908,56,0.00930948369204998,-0.024247907102108,0.9953412413597107,0.11568587169647217,-2.0885385593414307,44.379981994628906,-74.09154387720665,19.727805443501026,0.0,285.3268027210884,0.0
4.092,74.94744281298787,-0.3012966324666588,1.0766430807214928,56,0.017477182671427727,0.05001606419682503,0.9951300621032715,-0.04321752219796181,1.1999212184906005,11.665023803710938,-74.26491113561104,19.77320381372459,0.0,285.3268027210884,0.0
