time (s),yaw,pitch,roll,battery,altitude (m),loop rate (Hz),target altitude (m)
0.0,-0.06588221104075245,-0.3934617371510437,0.4273145905228447,69,0.0865716436787114,286.5940553467714,0.0
0.05,-0.06695199512895948,-0.39995209881220767,0.360261668569581,69,0.0848799007593097,286.5940553467714,0.0
0.1,-0.06737338505440275,-0.41479164447422867,0.4401694405072093,69,0.09328084297548575,286.5940553467714,0.0
0.151,-0.06977759934407157,-0.36728154050084494,0.4448226560802111,69,0.08891563411281159,286.5940553467714,0.0025
0.201,-0.06900765261285824,-0.426972468355569,0.5220345808615922,69,0.08783445951983176,286.5940553467714,0.014166666666666668
0.252,-0.11653428590949598,-0.3770502828725328,0.4229750451826056,69,0.0962671001224486,286.5940553467714,0.025833333333333337
0.302,-0.09685833336530544,0.04115321703403399,0.21608277711030457,69,0.09928367278157263,286.5940553467714,0.03833333333333334
0.352,-0.10020437593551644,-0.7219273129259803,0.6171175330512229,69,0.09776918185743069,286.5940553467714,0.05
0.403,-0.11484234944943347,-0.6568397475682642,0.4168219054157042,69,0.10413830775584937,286.5940553467714,0.06166666666666667
0.453,-0.12622573153755587,-0.6775473310291537,1.2438074759249274,69,0.09846450269597859,283.5138569690415,0.07333333333333333
0.504,-0.16745319168120093,0.07448336843477897,1.7534916391459765,69,0.09840586383050365,283.5138569690415,0.08583333333333334
0.554,-0.18156858170081608,-0.4011222122739708,0.12658473588618532,69,0.10204819089442616,283.5138569690415,0.0975
0.604,-0.23902959904798152,0.1781663263091206,1.630564037195402,69,0.09340829628028405,283.5138569690415,0.10916666666666668
0.655,-0.27357701685157576,-0.7777231262530582,0.3530061054710414,69,0.08960558262227011,283.5138569690415,0.12083333333333333
0.705,-0.28585520282861426,0.2251711029701545,0.28387312546782284,69,0.08951726670221385,283.5138569690415,0.13333333333333333
0.755,-0.30493297242804845,0.3295358626694975,0.8437506548398351,69,0.0906514191680595,283.5138569690415,0.14500000000000002
0.805,-0.377046396770851,0.7100049777464034,1.099523554435695,69,0.08646945065810688,283.5138569690415,0.15666666666666668
0.856,-0.4617213991529355,0.6585364726724294,0.8574576014579006,69,0.08223086186956899,283.5138569690415,0.16833333333333333
0.906,-0.5612546841214512,-1.1866352597942589,0.14056687487350783,69,0.08269676003677362,283.5138569690415,0.18083333333333335
0.957,-0.625452614774055,-0.13378395026766562,-0.2820046180810589,69,0.08142839555485645,283.5138569690415,0.1925
1.007,-0.7393969130913904,0.34791389361578334,0.6401060022595273,69,0.08683788910581816,285.7349955719054,0.2041666666666667
1.058,-0.7937197978188878,0.9780012666860892,0.10197760195655411,69,0.08859761288500487,285.7349955719054,0.21666666666666667
1.108,-0.8278149001071925,0.8789949984831369,0.6061145929804281,69,0.08732661391136157,285.7349955719054,0.22833333333333336
1.158,-0.9925880252241868,0.6607417978760998,0.03472320699883759,69,0.08524324503463634,285.7349955719054,0.24000000000000002
1.209,-1.0845568288546514,0.9718155073063218,0.6601022058974757,69,0.08592135791657504,285.7349955719054,0.2516666666666667
1.259,-1.1883854688690787,-0.14449691040360485,0.9814522867407093,69,0.08694030018124771,285.7349955719054,0.26416666666666666
1.309,-1.178680634434201,0.25263204572889925,0.8159033066329335,69,0.08490462793165923,285.7349955719054,0.2758333333333334
1.359,-0.9740164531689712,0.17479266979646493,0.6598195865428067,69,0.0900220080413687,285.7349955719054,0.28750000000000003
1.41,-0.6711032325460307,0.16359335261904553,0.5857550112845491,69,0.0946045980625306,285.7349955719054,0.30000000000000004
1.46,-0.3299206661665008,0.7062169482589268,1.0484154070707492,69,0.09675426614606572,285.7349955719054,0.3116666666666667
1.51,0.2847196600435641,0.35591853396823814,0.4089371786388209,69,0.10135388613155216,285.5793558929666,0.32333333333333336
1.56,0.6357202949362349,0.5734388068857668,0.7577193321172159,69,0.10567196257841502,285.5793558929666,0.335
1.61,1.1962731706867804,0.41012567658713356,0.9720864211845849,69,0.11483694852295301,285.5793558929666,0.3466666666666667
1.661,1.584916119667995,0.22192129989807036,1.155873552270564,69,0.1150282716299996,285.5793558929666,0.3591666666666667
1.711,1.810977439681509,0.4067122971787502,1.0359587190464834,69,0.12447883101846999,285.5793558929666,0.37083333333333335
1.761,1.8626891052780268,-0.007370473171507,0.7722471169385505,69,0.14137296539864375,285.5793558929666,0.3825
1.811,1.8390838619767826,-0.2462618942761219,1.0827023803581517,69,0.147935115819907,285.5793558929666,0.395
1.862,1.8425607519305423,0.3260027413730965,0.8386616714057311,69,0.1718989004978827,285.5793558929666,0.4066666666666667
1.912,1.8734101301914956,-0.07471924915920251,0.8353283934564985,69,0.17463158778323198,285.5793558929666,0.41833333333333333
1.963,1.9639154801343686,-0.26496606449621035,0.7331008907870269,69,0.18410945018782582,285.5793558929666,0.43000000000000005
2.013,1.98300933215532,-0.16191699450248137,0.892419719858527,69,0.19967202352719182,285.5793558929666,0.4425
