time (s),yaw,pitch,roll,battery
0.0,-0.4352260451798055,0.10866610945374261,0.5931915449964822,64
0.02,-0.4352662130426183,0.12081341216285586,0.5924149799190396,64
0.041,-0.43599210960811,0.13562537546584336,0.6026872286390881,64
0.061,-0.4357409664852857,0.12253728443144257,0.5904862894755214,64
0.082,-0.4368441478924713,0.06762190486314495,0.5989488422311615,64
0.103,-0.43684654952496593,0.046837194320071794,0.5533147443996506,64
0.123,-0.43933828920220186,0.029163790376172415,0.5602358665633879,64
0.143,-0.43986563570896464,0.07552452029735045,0.6006561467942395,64
0.163,-0.4388337614539982,0.05706447723254029,0.6207948656047332,64
0.183,-0.443516872650881,0.05652574609236729,0.5847624019347816,64
0.204,-0.44336432495992184,0.04688720935202094,0.6045007716172701,64
0.224,-0.45203698175150725,0.14161795188571824,0.5249364529967518,64
0.244,-0.47131123299316163,0.07592042596422871,0.6171820724339244,64
0.264,-0.4661633215678646,0.026510417186307006,0.6349141392030473,64
0.284,-0.46847949302097464,0.05597638409315112,0.45387620795445277,64
0.305,-0.4727153280625585,0.027309406972768936,0.6404252434423849,64
0.325,-0.4717120990247237,0.012253553214045516,0.6845118882182599,64
0.346,-0.4695393728770752,-0.01518206083013457,0.6271878501832701,64
0.366,-0.47004683792981355,0.17822806650173562,0.6962162382154928,64
0.387,-0.48672713459468675,-0.01004466900304632,0.9658407035084231,64
0.407,-0.4973384554173626,-0.2077815892593979,0.5475751920961948,64
0.428,-0.48717606552149484,-0.15807133117350888,0.8266691996734404,64
0.448,-0.4818770676447875,-0.4304512825012433,1.030271773133752,64
0.469,-0.5239376639354267,-0.13005692579955644,1.1845121046148401,64
0.489,-0.49475928656896345,0.014110843949792213,1.3000778639338522,64
0.509,-0.48316833976387763,0.07314705425630755,1.2131777592146784,64
0.529,-0.44264408913856734,0.3619065647760317,0.8942365119374801,64
0.549,-0.4519061609005908,0.37952999865652615,0.6237434769991387,64
0.57,-0.473899568610249,-0.3754618591803923,0.6729960746825078,64
0.59,-0.4500333371401998,-0.4601093611033556,0.7321108132424006,64
0.61,-0.42266044200776964,-0.150504405488475,0.7131342802190185,64
0.63,-0.4305588480709891,0.3829123542307768,0.5332924339986531,64
0.651,-0.45219448350037983,0.7142647427467559,0.23955431730202503,64
0.671,-0.5473705674656506,0.7638737375519891,0.22334410978475683,64
0.691,-0.6324351998946033,0.6101448792719838,0.5047012915756488,64
0.711,-0.653500446538276,1.3606385773322534,0.48477192670325564,64
0.731,-0.6771354402898329,1.3844174055267326,0.5734553147821352,64
0.752,-0.7297850878103579,1.6707354761466557,0.7225440492668986,64
0.772,-0.7979775751664581,2.118822414678762,0.8204214175785185,64
0.792,-0.8450214977215343,1.9855004704230195,0.5991856920274076,64
0.812,-0.8926510064688548,1.4161000315165355,0.3569613211283682,64
0.833,-0.9799987927321628,1.3384901635777031,0.5249025017313885,64
0.853,-1.0319505364828547,1.5545653572804772,0.8394453575566667,64
0.874,-1.0852247536763162,1.9796589627157688,1.0365512296393744,64
0.895,-1.10124554857204,2.052991662427957,1.053223256588402,64
0.915,-1.107633368045713,1.9314174725728523,0.9487670970362054,64
0.935,-1.075656029787547,1.8838583018757378,0.4730798664216664,64
0.956,-1.0690768121123941,2.0337774827141404,0.42829750418352586,64
0.977,-1.0597423508386934,1.7982211226021312,0.13748631726868468,64
0.998,-1.0063831270343295,1.8809794807510165,0.27262712979903264,64
1.018,-0.9142787122644372,1.672115704438464,1.2463410341441514,64
1.039,-0.8552294344720545,1.936253889936845,1.263923093083522,64
1.059,-0.8030453203284119,2.273339933864421,0.7864357755234511,64
1.08,-0.7120950463597105,2.401492076191315,0.7559366284720989,64
1.1,-0.6479797926684264,1.9697186961615478,0.8299638989848277,64
1.12,-0.5349913053932519,1.8131550569087556,0.7347291425816534,64
1.14,-0.42286334653812585,1.7509543128576406,0.751702967778395,64
1.161,-0.3859689020557121,1.7651870322958008,0.599113157877947,64
1.181,-0.28390853224681584,1.6417636766802668,0.7603901182144893,64
1.201,-0.21159922855867216,1.950440087656904,0.8984057313495483,64
1.221,-0.15092461477019378,1.8377380463359718,0.8584501798211422,64
1.242,-0.03311553403836252,1.780219286206225,0.5969093318732838,64
1.262,0.06730959312067943,1.6474580071871752,0.876817122924732,64
1.282,0.2379884354714327,1.5087874439441917,0.7961230037555601,64
1.303,0.38917080744573335,1.5168080400659825,0.9590692139443812,64
1.323,0.5130405410816898,1.5003829837637215,0.8297123726746785,64
1.344,0.5728280811061346,1.454109517650366,0.58323275925131,64
1.364,0.5810566608216092,1.4624166680506239,0.6752234101198114,64
1.384,0.5628316594248588,1.7001791240451951,0.9085669736682279,64
1.404,0.5630667722476517,1.399669992563278,1.0079154378760353,64
1.424,0.591013526471329,1.706746866318137,1.1564034372778536,64
1.445,0.6121363013497501,1.787596931476969,1.1395620848473857,64
1.465,0.6079659958123075,1.7928536974443852,0.5537132335747603,64
1.485,0.6048395639342844,1.6780152678774085,0.6945476997671892,64
1.505,0.595899468433963,1.6436899802645908,0.6724474078348012,64
1.525,0.5830062586505207,1.5322145269058036,0.9349624532281549,64
1.545,0.5765058631680448,1.6090512143928417,1.2954020369391337,64
1.565,0.5515545694576574,1.7407743908149242,1.2882073986634253,64
1.586,0.5303528689761308,1.7434206240513308,1.355380645574589,64
1.606,0.5199451188006421,1.7939771680163028,1.2715708936335872,64
1.626,0.5031806039102021,1.9255582829581417,1.2021563144328267,64
1.647,0.49580479861695176,1.8698712147287602,1.1190283577626154,64
1.668,0.4910246318794549,1.6741140688995493,1.168594704533815,64
1.688,0.47338941301443066,1.6027918921267228,1.2649941776466989,64
1.708,0.4732397961593832,1.5152458278636258,1.1957947512175722,64
1.728,0.46171196898188066,1.6191159427331965,1.107233334799263,64
1.749,0.4433660266062346,1.6734511384507416,1.1314679571800346,64
1.769,0.4167116367792899,1.659513217612066,1.1332144931256056,64
1.79,0.3679113165767588,1.3863637071348498,1.2019748722568517,64
1.81,0.3448301879766048,1.236951063788009,1.2393184413597897,64
1.831,0.3203996307669498,1.21663477197757,1.163362786746049,64
1.851,0.31759397530178723,1.1427272347852766,1.1232956792885873,64
1.871,0.3319341190428319,1.3279145768802594,1.0053181539139648,64
1.891,0.3545565110089698,1.321740418478475,1.1143226012955476,64
1.912,0.37456212808659906,1.2306563099205827,1.1096983402495064,64
1.932,0.4073021020108073,1.0575069440783362,1.0424225379454881,64
1.953,0.4308968472712892,0.8053673001383074,0.9678704547551555,64
1.973,0.4564103775303935,0.9647835101309118,0.8639701653200929,64
1.993,0.4838751047113207,1.1020560672439847,0.6597304176894092,64
2.014,0.5088734753228339,1.1019411353693134,0.7382406176010771,64
2.034,0.5451046115193109,1.3519217282728064,0.7827204503245088,64
2.054,0.5621422382756309,1.1304102575514163,1.0044758457682776,64
2.074,0.5787989437822789,1.0230781566499485,1.0142830623111152,64
2.095,0.6155810659388026,1.1065335489360988,1.1253043618345127,64
2.115,0.6506034247333519,1.150735622266042,1.07561449272306,64
2.135,0.7043010891433896,1.1044870614174995,1.142285135558981,64
2.155,0.7521891417204262,1.0316649247873293,1.0565966325260032,64
