time (s),yaw,pitch,roll,battery
0.0,119.75878404743167,5.508071918833758,-0.9888367485760879,54
0.021,119.92963460950345,4.278015046402942,-1.2463658068701857,54
0.041,120.28625198496823,4.1186133365773445,-2.345018452088266,55
0.062,120.32803203996674,3.271002525732147,-1.910530063532393,55
0.082,120.38034938910342,4.047454596811388,-2.166237762608201,55
0.102,120.47056971580744,3.7753920586882765,-2.0216383690045987,55
0.123,120.5153302834365,3.332889643639809,-2.12295607573266,55
0.143,120.58731572634782,3.3018948667901276,-1.629510294560226,55
0.164,120.65391748799031,3.6320466794427673,-0.974784511466536,55
0.184,120.71340244388449,3.696914441317253,-1.5522213493633106,55
0.204,120.6801780419094,3.671666894211689,-1.2564325274561123,55
0.225,120.52593277477244,4.12116852122159,-2.312029585351455,55
0.245,120.41051939930962,4.698487762771116,-2.1502167445317673,55
0.266,120.28729239749809,4.689957930092338,-1.9361410376141774,55
0.286,120.17724185936419,4.059057186621843,-2.1631649678709866,55
0.306,120.15277459587945,4.08674291160939,-2.0617764930769726,55
0.327,120.19790559668829,3.7538512203945555,-1.66519707573555,55
0.347,120.16228715377648,3.591370057485004,-1.2339718201907104,55
0.367,120.04498657811635,3.4521937845190136,-1.002291703310412,55
0.388,120.00555495895348,3.8369763712995146,-0.19856907283427544,55
0.408,120.00821364825597,3.867801558998225,0.1829050474945271,55
0.428,120.0578585130776,3.63491089681314,-0.13620972369304502,55
0.449,120.07604327609845,4.12604326558832,-0.7001396530993155,55
0.469,120.12921117074306,4.864481598265569,-2.3259234585250663,55
0.49,120.15664624762262,5.347322655649416,-2.7288519184377953,55
0.51,120.1454526920851,5.6218725982597375,-2.95034033859801,55
0.53,120.09370804884277,5.727532078257629,-3.191856587175489,55
0.551,120.06348680583163,5.631522246265465,-2.785295367071367,55
0.571,120.04842965758513,5.6745478757806875,-2.336336567091929,55
0.591,120.06155725169236,5.604943422281353,-2.489827591326114,55
0.612,120.1152552026394,5.177040617905067,-2.2192417607883694,55
0.632,120.14916072183016,5.196059700578486,-1.5718404438123241,55
0.653,120.12763235530524,4.767304937340744,-1.7509680116663116,55
0.673,120.06516313279177,4.641396597605003,-1.7825813777914286,55
0.693,120.03425929377258,4.648966278934026,-2.4366698079787774,55
0.713,120.01146789306657,4.537217992615928,-2.373610557702483,55
0.734,119.9947358103287,4.674323688335664,-2.2564096920215047,55
0.754,119.97064474746269,4.417908901746736,-2.297901090908077,55
0.775,119.88803264325739,4.563238609867321,-2.0100962818548664,55
0.795,119.89760875353707,4.985826822506637,-1.6127486874928487,55
0.815,119.9148768317,5.121081929112196,-2.031845992045918,55
0.835,119.93111998661615,5.41602575295501,-2.4408507275237343,55
0.855,119.91802112837475,5.238183678589785,-2.5107496077748945,55
0.876,119.87621745201105,5.142132069638041,-2.706770102458713,55
0.896,119.88342694494476,5.322204292594321,-2.6298887903297428,55
0.916,119.88043377146374,5.384026001641954,-2.1144372553079145,55
0.936,119.87277263031008,5.124030241506752,-2.0598501402566303,55
0.956,119.84098129392835,5.053882801142835,-2.4350474026972746,55
0.977,119.77305402552108,4.659316405594637,-2.239982177541957,55
0.997,119.74343957802235,5.129642906144031,-2.207785350086147,55
1.017,119.77922251432763,5.30029864627622,-1.7771620314067533,55
1.038,119.76373112241676,5.231942084642287,-1.975183048313142,55
1.058,119.76697304055764,5.316430101968712,-2.2850043953974706,55
1.078,119.7119848511523,5.416684377195682,-2.0783557300525493,55
1.099,119.65445911538912,5.423480897605515,-1.9110819467077558,55
1.119,119.61479106805189,5.555092914056182,-1.9621058157324243,55
1.14,119.6168842309941,5.68973464840651,-2.0843846413976346,55
1.16,119.640061920753,5.513056944571742,-1.8423068647388683,55
1.18,119.63337985704776,5.23876225119043,-2.123086348238343,55
1.201,119.58663324563166,5.374661030664186,-2.082313281834856,55
1.221,119.613528326283,5.381655624866639,-1.7312491620598558,55
1.242,119.59503598186838,4.955315541652957,-1.7541438285878361,55
1.262,119.61252154973347,4.9806706933700005,-1.6583231596183912,55
1.283,119.61569086927643,5.032057725035455,-1.628765933625248,55
1.303,119.57177064389352,5.234340943290025,-1.2954872516835754,55
1.324,119.55115248306855,5.329519361283378,-1.2168466086081278,55
1.344,119.54262963708489,5.635792300484176,-1.4508721750305775,55
1.364,119.54745602519652,5.767121385274315,-1.898284290211723,55
1.385,119.54376911524948,5.991275163280951,-2.046545988049436,55
1.405,119.53132547023674,6.068521651031586,-2.214062513431451,55
1.426,119.48617943707617,6.227850909722192,-2.358286955810847,55
1.446,119.45179847255687,5.90046419776287,-2.7102116266366183,55
1.467,119.45406451538335,5.551689489336122,-2.424666635753418,55
1.487,119.42439353572614,5.260280812795275,-2.447783806318323,55
1.507,119.37504748095569,5.263539584326185,-2.6540046489167697,55
1.528,119.35441584818618,5.593572280914366,-2.3608709064269373,55
1.548,119.31276606980741,5.24951370610169,-2.358067717481736,55
1.569,119.28686907571394,5.611351822262529,-2.6028233796659346,55
1.589,119.29088204429725,5.527188020803809,-2.309978845926837,55
1.609,119.2789273802355,5.900337068120707,-2.391333365246622,55
1.63,119.22840327213956,6.021284003272767,-2.242991611400581,55
1.65,119.16354719951192,6.173305218262756,-2.723998208968282,55
1.67,119.14061244682958,6.290681585925914,-2.8245805322045077,55
1.69,119.12283757383257,5.888997471373385,-2.2514801845156525,55
1.711,119.11457983613552,5.77511824300646,-2.4282284453397414,55
1.731,119.11690709530731,5.731472900246388,-2.7418598632338425,55
1.751,119.07570147945015,5.586317555184115,-2.690034239941013,55
1.772,119.05132439712521,5.472165575351657,-2.7654151070362922,55
1.792,119.0607124169192,5.473775543104277,-2.713327097120345,55
1.812,119.1017668639876,5.7444369579206205,-2.6631028781617903,55
1.833,119.11891063386125,6.2286878621797594,-2.738317662747538,55
1.853,119.12362782516378,6.492467750903269,-2.764242080043761,55
1.874,119.10663776197008,6.584599629366525,-3.144111810585918,55
1.894,119.13906430423256,6.789924808617617,-3.351624059439366,55
1.914,119.14577954598614,6.772952033531192,-3.2048752298729912,55
1.935,119.1497343905151,6.789874878519995,-2.8453343605120835,55
1.955,119.13697395623625,6.725012733038617,-2.8792761946316894,55
1.976,119.13885485130227,6.429570387978085,-3.2179641163653123,55
1.996,119.12146769045575,6.294633649369772,-3.067332397737166,55
2.017,119.12567879675348,6.4018854820746425,-3.063182354212366,55
2.037,119.15272151416411,6.213433200790393,-2.8418307017110798,55
2.058,119.13758973729887,5.902483760315255,-2.650836363835599,55
2.078,119.12247115210465,6.185674248527249,-2.6693825753680978,55
2.099,119.13180955307752,6.5016451538843025,-2.8087861869789608,55
2.119,119.13570503574822,6.488443817598171,-2.7875550471399118,55
2.14,119.1700823317683,6.499345513349289,-2.6304651570042537,55
2.16,119.1863041062272,6.333160335752439,-2.368394198519811,55
2.18,119.17908303268402,5.964227430561021,-2.8473871895426655,55
2.2,119.19800666348222,6.040308320657391,-3.2200799997830365,55
2.221,119.20572018488006,6.17542098318663,-2.9109628843719144,55
2.241,119.19442100121081,6.3027354211347735,-2.9182180860093774,55
2.262,119.1761558516307,6.94205563149,-2.8294813123959974,55
2.282,119.20350587487262,6.819810156326243,-2.701134591736619,55
2.303,119.16370618085983,6.932993472211198,-2.2303019827194857,55
2.323,119.12854835586145,6.905243414913336,-2.2317014294796595,55
2.343,119.10350652018668,6.612143484383262,-2.1940112845739512,55
