time (s),yaw,pitch,roll,battery,altitude (m),loop rate (Hz),target altitude (m)
0.0,-0.19505582924659112,-0.56222599137824,-0.49310469991470185,62,0.0,59.90236935688885,0.0
0.05,-0.19505465523186746,-0.5932943144908446,-0.4945029791383833,62,0.0,59.90236935688885,0.0
0.1,-0.1945186278481603,-0.6036752839979543,-0.49429914640526235,62,0.0,59.90236935688885,0.0
0.151,-0.1956096346607749,-0.6159636662483703,-0.4921250374182074,62,0.0,59.90236935688885,0.005
0.201,-0.19575298798657176,-0.6032577057011144,-0.49668750710581994,62,0.0,59.90236935688885,0.016666666666666666
0.251,-0.19615204527262245,-0.6273435188281157,-0.4991055411785147,62,0.0,59.90236935688885,0.0275
0.302,-0.1962112831416636,-0.5792303590590071,-0.4938739814023598,62,0.0,59.90236935688885,0.035833333333333335
