time (s),yaw,pitch,roll,battery,acc_x,acc_y,acc_z,gyro_roll,gyro_pitch,gyro_yaw,x (m),y (m),altitude (m),loop rate (Hz),target altitude (m)
0.0,6.003004883241689,-0.7158342786839431,0.5558263095442924,61,0.013050822541117668,0.009021473117172718,1.0011019706726074,0.18715976178646088,-0.03317594528198242,0.14462101459503174,0.4941695618786379,0.5391648452776734,0.03861169112967885,198.5187429004165,0.0
0.053,6.088855003049965,-0.7161368458818341,0.5700719278509675,61,0.011948280036449432,0.011962782591581345,1.0006093978881836,-0.01081030908972025,-0.006544046103954315,0.1714848428964615,0.49753923908888964,0.538300902178635,0.039587583886630036,198.5187429004165,0.0
0.104,5.965930177609799,-0.7183374284777986,0.577609794887947,62,0.011828131973743439,0.010767933912575245,1.0020532608032227,-0.08654862642288208,0.1915305107831955,0.0780964344739914,0.4992207410621045,0.5389777753011643,0.04074482643605817,198.5187429004165,0.0
0.155,7.169849469177013,-0.7114579366368567,0.5841323095291571,62,0.010908957570791245,0.010280975140631199,0.9980576038360596,0.05495324730873108,0.1271127313375473,0.15100838243961334,0.4982315008405292,0.5402773384721082,0.04063989511206251,198.5187429004165,0.0
0.205,8.290818533810354,-0.6833714381904955,0.559741630815749,62,0.00962851382791996,0.008359856903553009,0.9971158504486084,0.23592418432235718,-0.057776618748903275,-0.10180369019508362,0.497239281109077,0.542391002592733,0.04046058689820703,198.5187429004165,0.0
0.255,9.273195414191152,-0.7164866696940643,0.5618851711286545,62,0.013515678234398365,0.011696269735693932,1.0015853643417358,0.07218299061059952,-0.09955336153507233,0.027625882998108864,0.4965767177716315,0.5465896786949673,0.040290150762715034,198.5187429004165,0.0
0.306,10.120025532870601,-0.7237208140834074,0.5452441292686206,62,0.01298113726079464,0.009444664232432842,1.0003700256347656,0.10407236218452454,0.13263973593711853,0.20869287848472595,0.49601240203506936,0.5483005387277562,0.03947119738751091,286.16388073957836,0.0
0.356,11.321318183506792,-0.7057188920047086,0.5628556650430981,61,0.014055444858968258,0.011524329893290997,1.002402424812317,-0.040620628744363785,0.02744825929403305,-0.07732093334197998,0.4942289911230093,0.5516863151719399,0.03844212589327079,286.16388073957836,0.0
0.406,12.591190637731904,-0.6939453097151994,0.5658351709581366,61,0.01220474112778902,0.010883432812988758,0.9980519413948059,-0.012627262622117996,-0.015068494714796543,-0.10821163654327393,0.4911022054497829,0.5543070255025483,0.03772284601417293,286.16388073957836,0.0
0.457,13.688553432228511,-0.7229844321560722,0.5533903707702577,61,0.013822793960571289,0.008612595498561859,1.0003836154937744,-0.1362767368555069,0.03455309569835663,0.022568032145500183,0.48912246173691465,0.5557934562586335,0.036464807167713414,286.16388073957836,0.0
0.507,15.47425427976372,-0.7135671010237615,0.5524718028457984,61,0.011284902691841125,0.009139924310147762,1.00005042552948,0.3424029052257538,-0.10375407338142395,-0.06823678314685822,0.48721655626083515,0.5561408223602378,0.03527775917384251,286.16388073957836,0.0
0.557,16.41865162558801,-0.7126037705649239,0.5574417083964092,61,0.012394393794238567,0.010509274899959564,1.001015543937683,-0.13639670610427856,0.17869696021080017,-0.10023753345012665,0.4817409295429632,0.5549681016796373,0.033948412104756014,286.16388073957836,0.0
0.609,14.616936382449353,-0.7071633571660588,0.5591314232168213,62,0.011390644125640392,0.009260261431336403,1.001401662826538,-0.12432586401700974,0.056053392589092255,-0.24759504199028015,0.4805612367190349,0.5533681367881319,0.0329725510322789,286.16388073957836,0.0
0.659,13.039201657910564,-0.7055553852320001,0.5501556526864221,62,0.012074817903339863,0.010270570404827595,1.0015337467193604,0.014311255887150764,0.012461070902645588,0.2002670168876648,0.4778437719563638,0.5518715471999801,0.031168070014708577,286.16388073957836,0.0
0.71,12.60338343379467,-0.6960071536218263,0.5916392880383283,62,0.011571170762181282,0.011181665584445,0.9998556971549988,-0.28372687101364136,-0.030137119814753532,-0.07119112461805344,0.47485005022775195,0.5524795207849554,0.02995509255171949,286.16388073957836,0.0
0.76,10.696055692041597,-0.7188286100045399,0.5620215607787339,62,0.01281971950083971,0.009824561886489391,1.000822901725769,0.18314005434513092,-0.03162820264697075,0.01706201769411564,0.47108917064186934,0.5509266375112948,0.02897997360397097,286.16388073957836,0.0
0.81,8.967572668258226,-0.7290830784343681,0.5762554436855534,62,0.014564652927219868,0.011100511997938156,0.9999642968177795,-0.2541278004646301,-0.026714811101555824,0.04949524626135826,0.46924180599321935,0.5472376258504364,0.028411319388332176,286.16388073957836,0.0
0.86,7.72740015457873,-0.7383596131418502,0.5612150788842296,61,0.014243008568882942,0.009680748917162418,1.0023101568222046,-0.05080036818981171,-0.03848312050104141,-0.04439479857683182,0.4691011842675547,0.5463342498684679,0.028227074715530237,286.4766067891537,0.0
0.911,6.088078086334586,-0.738515192164175,0.5188923441956339,61,0.012227595783770084,0.007784152869135141,1.0021504163742065,-0.09606098383665085,-0.0880323126912117,-0.0007528275600634515,0.466212338670906,0.5474110057724594,0.027692497150441947,286.4766067891537,0.0
0.961,7.770758382684925,-0.7302366970359971,0.5379429562247634,61,0.011887541972100735,0.011444653384387493,0.9985358119010925,0.02756892889738083,-0.0913177952170372,0.07280220091342926,0.46395666503912436,0.5478580011436462,0.027573293698696235,286.4766067891537,0.0
1.011,9.377151508379068,-0.7190921253923405,0.5507384401376209,61,0.01271673385053873,0.010648337192833424,0.9980695247650146,-0.02900567278265953,-0.057734329253435135,0.05638134479522705,0.46309172175360663,0.5488256033673196,0.028661135221043715,286.4766067891537,0.0
1.062,10.449129981079793,-0.7026388975655503,0.5756484255625234,61,0.010907469317317009,0.00972652155905962,0.999761700630188,-0.06089593842625618,-0.22097355127334595,0.16591346263885498,0.4639688504399617,0.5487883409922569,0.029305750155764265,286.4766067891537,0.0
1.116,10.136446249259865,-0.6987657728640174,0.5791842262367181,62,0.01286768913269043,0.008910327218472958,1.0010871887207031,0.0010372151155024767,-0.19441260397434235,-0.11596065014600754,0.46678171540925734,0.5468866875000924,0.029218851321933897,286.4766067891537,0.0
1.166,9.793335961029163,-0.7166242029760402,0.6067478456129598,62,0.01380562037229538,0.010869343765079975,0.9988975524902344,-0.046847712248563766,0.14373506605625153,-0.03343374654650688,0.47250542292768943,0.5463030856835712,0.029719569770739043,286.4766067891537,0.0
1.216,9.594449477616541,-0.7190772113433921,0.5917920159451985,62,0.012300055474042892,0.00968923419713974,0.9997788667678833,0.032021693885326385,0.0878487229347229,-0.132966548204422,0.4773851535854869,0.544927083812523,0.03068325466328319,286.4766067891537,0.0
1.267,9.269156285149029,-0.7178578758633859,0.5846641350711708,62,0.01213363092392683,0.00963547732681036,1.0000778436660767,0.004278368316590786,0.028526369482278824,-0.04273819923400879,0.47890917230169355,0.5436784932828604,0.031259582252384364,286.4766067891537,0.0
1.317,9.08138862322063,-0.7357408465167059,0.5588384584171994,62,0.012722418643534184,0.009698987938463688,1.001473069190979,-0.032061513513326645,0.03763091191649437,-0.10771802812814713,0.47933469472334594,0.5450835763991254,0.03250219756059942,286.4766067891537,0.0
1.367,9.598526269590211,-0.7589801233812048,0.5764742025534818,61,0.012487308122217655,0.00952296331524849,1.001383662223816,-0.29091423749923706,0.15329861640930176,0.00485943304374814,0.4806927177389851,0.5467001993092999,0.03318323476387135,286.4766067891537,0.0
1.418,9.781774386591302,-0.7416001168095075,0.5888787697816463,61,0.011995751410722733,0.01039599534124136,0.9988054633140564,-0.02293824590742588,-0.12895260751247406,0.07124550640583038,0.48272926616290013,0.5465224874295402,0.033910626791695625,278.7283359914939,0.0
1.469,9.679321955522418,-0.7434382403420651,0.5877913202869879,61,0.01271386630833149,0.010880913585424423,1.0013160705566406,-0.08667483180761337,0.177941232919693,-0.20488984882831573,0.48284782950038785,0.5466353927950173,0.03367431139083548,278.7283359914939,0.0
1.519,8.740762051508932,-0.7169664707828547,0.5644947202896061,61,0.01167063694447279,0.01043140422552824,0.9978036284446716,-0.01363029982894659,-0.03977494314312935,0.15028329193592072,0.4825747578954555,0.5437265601022921,0.03248021529241376,278.7283359914939,0.0
1.57,7.766642389640797,-0.726861811536606,0.5520093547494056,61,0.011262473650276661,0.010356881655752659,0.9992393255233765,-0.07941476255655289,0.13187360763549805,-0.029441840946674347,0.48185690446653506,0.5430925453547873,0.030663805343898943,278.7283359914939,0.0
1.62,6.373763245288962,-0.7227208748731366,0.5642651917490431,61,0.013052224181592464,0.00884275697171688,0.9982089400291443,0.3084482252597809,0.12982164323329926,0.11579597741365433,0.48294993267695363,0.5428024716008273,0.02924609934893537,278.7283359914939,0.0
1.671,6.043158050753768,-0.7009544975969956,0.5634757443342276,61,0.01101177278906107,0.010719102807343006,1.001888394355774,-0.10668841004371643,-0.16098816692829132,-0.21863746643066406,0.48505438614159363,0.5420625416838667,0.027567503797238425,278.7283359914939,0.0
1.722,5.6012162800949685,-0.7308428681582613,0.5624742642044428,61,0.013830148614943027,0.012290917336940765,1.0012056827545166,0.151020348072052,0.021299267187714577,0.105667345225811,0.4824473949908172,0.5411570944123038,0.02453473647061596,278.7283359914939,0.0
1.773,4.0288180051699785,-0.7216588289589986,0.5176551367633266,61,0.012376549653708935,0.009241094812750816,0.9996944069862366,0.08373608440160751,0.12709176540374756,0.11723868548870087,0.48086229914089157,0.5400475132985159,0.02276873717760465,278.7283359914939,0.0
1.823,4.118152040170846,-0.7404374145061803,0.5381970067187787,61,0.013454880565404892,0.010400345548987389,0.9998427629470825,-0.060820888727903366,-0.046863164752721786,0.1136646494269371,0.4794363514284792,0.5404913603109868,0.021994086767936835,278.7283359914939,0.0
1.873,4.047050077216146,-0.7707906379357483,0.5956030921549427,62,0.0158016886562109,0.013355094008147717,0.9998306632041931,0.17730048298835754,0.04328642413020134,0.11948970705270767,0.4760078056535787,0.5388074019647415,0.021412626023550686,278.7283359914939,0.0
1.924,2.498433340853472,-0.7477241777165573,0.6001334347169853,62,0.014940052293241024,0.00963878445327282,0.9993295073509216,0.08104866743087769,-0.0011919004609808326,0.08861970156431198,0.47673220736299204,0.5365262238127725,0.0209030648140412,278.7283359914939,0.0
1.974,1.5966122856495486,-0.7203450042280637,0.6026392124058451,62,0.01111194584518671,0.0099720424041152,1.0008631944656372,-0.05215403437614441,0.011128915473818779,-0.052019476890563965,0.4755654738429811,0.5349027301318268,0.020298475120580618,286.55489512878324,0.0
2.024,0.2711216522960828,-0.7231415259182464,0.5749358996196405,62,0.011992408894002438,0.009328661486506462,1.0000884532928467,-0.028247874230146408,0.09852496534585953,-0.00675165094435215,0.4760919455786228,0.534542621000805,0.02047106572802646,286.55489512878324,0.0
2.075,0.44253516261067677,-0.7286014757092882,0.5857706098385637,62,0.012053335085511208,0.01064794696867466,1.000144362449646,0.20222477614879608,-0.005834037903696299,-0.13747204840183258,0.47841848471891774,0.5363522892615691,0.021706796681009704,286.55489512878324,0.0
2.125,0.5429260969894457,-0.7312567876897378,0.5619990146848755,61,0.012374335899949074,0.010522337630391121,0.9979369044303894,0.359861820936203,-0.05321008712053299,0.005694098304957151,0.48052774603405524,0.5351005788211453,0.02333524828830786,286.55489512878324,0.0
2.175,0.5306876440830434,-0.717919818720795,0.5729793974880969,61,0.012034974992275238,0.010659540072083473,1.0005358457565308,0.3039548993110657,0.1029229462146759,0.1587817221879959,0.48448556911644874,0.5359956126429324,0.025049295023297377,286.55489512878324,0.0
