time (s),yaw,pitch,roll,battery,x reading (m),y reading (m),z reading(m),altitude (m),loop rate (Hz),target altitude (m)
2.7,-14.825130961196546,4.208372451528496,0.004682044683447768,60,0.9426243305206299,1.035210132598877,0.9359298348426819,0.9331065798397247,283.85923118570656,0.0
2.756,-14.824394455300556,4.254828946911428,-0.09094832586685754,60,0.945415735244751,1.0327588319778442,0.9302093386650085,0.9324769704306952,283.85923118570656,0.0
2.811,-14.82226643941767,4.242617406432895,-0.1426114138986811,60,0.9423866868019104,1.0301430225372314,0.9300346970558167,0.9307599982973002,283.85923118570656,0.0
2.862,-14.821121510874846,4.256280867783975,0.03959322143615373,60,0.9466412663459778,1.03028404712677,0.9272346496582031,0.9303059820748752,283.85923118570656,0.0
2.912,-14.817821345051053,4.3270486582368,0.07219629336018815,60,0.9478040337562561,1.0230977535247803,0.9303536415100098,0.9292420867767188,283.85923118570656,0.0
2.963,-14.818835647391785,4.192148165207066,0.08033056734012027,60,0.9517054557800293,1.0271824598312378,0.9361478686332703,0.9321977553385883,283.85923118570656,0.0
3.013,-14.819218701219802,4.2742482140885185,-0.04963378321877295,60,0.9488729238510132,1.0265123844146729,0.9372361898422241,0.9341442531326369,283.85923118570656,0.0
3.063,-14.818478960013813,4.186665743939678,-0.07954860208484787,60,0.9476174116134644,1.0302448272705078,0.9370872378349304,0.9355497842251307,283.85923118570656,0.0
3.115,-14.816767944230657,4.3053204304366615,0.007261660199093563,60,0.9496939182281494,1.0381332635879517,0.9396182298660278,0.9369296254336521,284.91977447184297,0.0
3.168,-14.814273779759406,4.3243528463547865,0.018076674394714175,60,0.9452676177024841,1.0366644859313965,0.9397767186164856,0.937831990051776,284.91977447184297,0.0
3.218,-14.813666577937589,4.294983354457558,-0.2295939658819982,60,0.9566758275032043,1.036696434020996,0.9481586217880249,0.9432689440741254,284.91977447184297,0.0
3.269,-14.812191251787759,4.387686774495383,-0.15230316191585905,60,0.9511763453483582,1.040153980255127,0.9437507390975952,0.9435366909425195,284.91977447184297,0.0
3.319,-14.813549770635214,4.227551330276366,0.020839509607326997,60,0.9507139325141907,1.0401602983474731,0.9449499249458313,0.9441323915774871,284.91977447184297,0.0
3.372,-14.812056679719005,4.183906288655322,-0.11228695529773423,60,0.9584817290306091,1.0432419776916504,0.9414812326431274,0.9431076173634787,284.91977447184297,0.0
3.423,-14.812061236901187,4.250826590989064,-0.0894956969489148,60,0.9577330350875854,1.0437828302383423,0.9450037479400635,0.9439704434162222,284.91977447184297,0.0
3.473,-14.81136859679735,4.171978840579774,-0.00856269526399286,60,0.9604246020317078,1.0481045246124268,0.9463873505592346,0.9444340569226396,284.91977447184297,0.0
3.523,-14.811324705409502,4.292363093165118,-0.05095704238455264,60,0.9571576714515686,1.0450925827026367,0.9418596029281616,0.9438285614799619,284.91977447184297,0.0
3.573,-14.812038523017709,4.324466886530025,-0.102958972047874,60,0.9586743116378784,1.0477343797683716,0.9476824998855591,0.9453895327751861,284.91977447184297,0.0
3.624,-14.813357204469177,4.2375931077475,-0.050905787614996145,60,0.9609156847000122,1.0480196475982666,0.9405782222747803,0.9432461267653195,284.91977447184297,0.0
3.675,-14.814442976791275,4.254489776365333,-0.07187880244901748,60,0.9547298550605774,1.0466852188110352,0.9421828985214233,0.9425151950225371,200.5308854465481,0.0
3.726,-14.814334984406123,4.420464852674242,0.003259928991519955,60,0.9503227472305298,1.0504077672958374,0.9360695481300354,0.9399813549088104,200.5308854465481,0.0
3.777,-14.816147168304974,4.23186085974159,0.020106468455899053,60,0.9471850395202637,1.0504180192947388,0.933970034122467,0.9359183095657304,200.5308854465481,0.0
3.827,-14.816570259690048,4.252045825738382,0.025437305960256926,60,0.9576044678688049,1.052395224571228,0.9326070547103882,0.9342345164612001,200.5308854465481,0.0
3.877,-14.814694667504124,4.231533091040625,-0.07891140263189701,60,0.9527472257614136,1.0566431283950806,0.9323703050613403,0.932091997516717,200.5308854465481,0.0
3.928,-14.817709458410919,4.44455591127965,-0.07694798692556178,60,0.9549222588539124,1.057869553565979,0.9339024424552917,0.9331112872011581,200.5308854465481,0.0
3.979,-14.81652604311393,4.157723663123805,0.07304725365444087,60,0.9496098756790161,1.0510566234588623,0.9325705170631409,0.9337190490752691,200.5308854465481,0.0
4.029,-14.815546190128849,4.341075315170317,-0.16705244398362457,60,0.9444029927253723,1.050567388534546,0.9352622032165527,0.9340477853282444,200.5308854465481,0.0
4.079,-14.813268984832893,4.395083208226487,-0.0895833199889667,60,0.9481361508369446,1.0479592084884644,0.9385772347450256,0.9361633301536418,200.5308854465481,0.0
4.131,-14.81374557504706,4.252977920805892,-0.07240734269547615,60,0.9495904445648193,1.0471622943878174,0.9355443120002747,0.9360814512078093,200.5308854465481,0.0
4.183,-14.815255273007189,4.2946670500732465,0.03407102124259833,60,0.9504168629646301,1.0449093580245972,0.9397739171981812,0.9378139353710034,200.5308854465481,0.0
4.233,-14.813464304970246,4.338991159270898,0.046606708553623304,60,0.9404841065406799,1.046518087387085,0.9343801736831665,0.937350877952727,200.5308854465481,0.0
4.284,-14.813042028402108,4.295682136814201,0.06382373225283841,60,0.9377612471580505,1.0392787456512451,0.9385903477668762,0.9369222680762795,257.8412737443905,0.0
4.334,-14.814962049673035,4.266620484561617,0.0291309813909108,60,0.937164306640625,1.0377488136291504,0.9384577870368958,0.9392303425883488,257.8412737443905,0.0
4.388,-14.816428801526435,4.2689021596131544,-0.10474511714249539,60,0.9320822358131409,1.0357706546783447,0.9429194927215576,0.9404672742117527,257.8412737443905,0.0
4.438,-14.814235232697355,4.204928911527178,-0.037521542033297765,60,0.940152108669281,1.040833592414856,0.9418182373046875,0.9423474182222672,257.8412737443905,0.0
4.489,-14.810311721035047,4.249399383949545,0.06941932834054211,60,0.9365054965019226,1.0431385040283203,0.9400207996368408,0.9419586842116333,257.8412737443905,0.0
4.541,-14.810530591423793,4.2152835105055475,-0.1228749499131654,60,0.9374591112136841,1.0353131294250488,0.9431978464126587,0.94197346587246,257.8412737443905,0.0
4.591,-14.813266651607066,4.3786033731358955,-0.10398078847052235,60,0.9388365149497986,1.037004828453064,0.9408828616142273,0.9414857126508506,257.8412737443905,0.0
4.642,-14.814753965787459,4.151417779824811,-0.07248966815962722,60,0.9371800422668457,1.036194086074829,0.9382092952728271,0.9400963783683136,257.8412737443905,0.0
