time,thrust,velocity,yaw,pitch,roll,battery,x,y,z,yaw obs,pitch obs,roll obs,x obs,y obs,z obs,loop rate (Hz),target altitude (m)
0.0,0.0,-6.093269765892426e-11,-0.06236287018433904,-0.96974507963246,0.4241523143436668,53,0.4579178880072561,0.555705657644394,2.7790109404363733e-09,-0.06293775274117053,-0.9692899398780456,0.4334574777239823,0.45765118522781434,0.5555649136183788,0.0,285.9675712156771,0.0
0.05,0.0,-4.8356272804781726e-11,-0.06256497847271965,-0.9198117879176948,0.45723756507183155,53,0.45819975965127335,0.5571300216408045,2.2725179903553277e-09,-0.06127877887304532,-0.9268488207666655,0.43612843806379414,0.4583622337908966,0.5573624375136579,0.0,285.06271366682796,0.0
0.101,0.0,-3.5233329532247575e-11,-0.05890807456846478,-0.9496695838313014,0.45965642837571236,53,0.4595015706415036,0.5543843948268159,1.6805446124628003e-09,-0.0603501520311815,-0.9428472629911963,0.46060098027700036,0.4598874231743333,0.5547620229918603,3.148413305462296e-05,285.06271366682796,0.0
0.151,0.0,-2.8308962368191544e-11,-0.059716931828623906,-0.9616077475767442,0.47777174932907074,53,0.46146397967880914,0.552028253851277,1.374366916309456e-09,-0.05973997971789413,-0.9636137202809933,0.473889436580295,0.46195358992431024,0.5518112778265001,9.039272797397415e-06,285.06271366682796,0.0
0.202,0.0,-2.1665685769719993e-11,-0.06194048687051512,-0.9301561142220586,0.46053286574678176,53,0.46474235278125375,0.5491230272030427,1.0164047326817711e-09,-0.06219789783283369,-0.9327541542175724,0.46635507922831854,0.4647676330667148,0.5490229119296042,0.0,285.06271366682796,0.0
0.252,0.0,-1.7961289219022682e-11,-0.06479985388610064,-0.9432230479244049,0.5215796411162553,53,0.46780078238031386,0.5477205201586419,8.311573631303411e-10,-0.062011254912637606,-0.9195908819571841,0.508681622377805,0.4682274150821633,0.5474827055396815,2.4769835084553997e-06,285.06271366682796,0.0
0.303,0.0,-1.2747064263377998e-11,-0.06916840354047135,-0.9314725867109411,0.49636333162787893,53,0.47126705286774906,0.5454654379816185,6.146530701723454e-10,-0.06862238883694906,-0.9376632133653037,0.49813761935924505,0.47167486365856487,0.5456605953306427,2.227207109123938e-05,285.06271366682796,0.0
0.353,0.0,-1.0427312162164196e-11,-0.07154739082022941,-0.9507178118258651,0.5059495548688822,53,0.4740571714635352,0.5419475614084737,5.026560724353527e-10,-0.07020538393467092,-0.9505023104608449,0.510022978896191,0.4747038010385835,0.5416485225685076,1.2124784952036641e-05,285.06271366682796,0.0
0.403,0.0,-7.941985607320634e-12,-0.0668089046353923,-0.9335008360491086,0.5259850396760765,53,0.47694046018873076,0.5370068919390856,3.717199072929791e-10,-0.06762216042464116,-0.9378633328799749,0.5222835719581638,0.47763788012181135,0.5374862789919579,5.52530363292667e-05,285.06271366682796,0.0
0.454,0.0,-6.425313437298571e-12,-0.06587565400684409,-0.914198483530388,0.4775485337425542,53,0.4763759328595379,0.5336533153345312,3.0397172155654654e-10,-0.06793847570341142,-0.9215533662569941,0.4858185808072282,0.47662744923117734,0.533399701855584,2.8290796287310677e-06,285.06271366682796,0.0
0.504,0.0,-4.963858447165719e-12,-0.06525548857845118,-0.9185777028567215,0.5012734034608514,53,0.4784674796635564,0.5293598118569288,2.2477683577797891e-10,-0.0658619530918512,-0.9177363354051594,0.49813953696046054,0.4783693181166383,0.5290303811725107,0.0,285.06271366682796,0.0
0.554,0.0,-3.997098712846369e-12,-0.06671559037187172,-0.9385621612878642,0.49580502636782914,53,0.48073933192106577,0.5284767794977631,1.837982682592909e-10,-0.06672064778375326,-0.9406091106763617,0.4969359867572892,0.480990507571641,0.5282009776066053,0.0,285.06271366682796,0.0
0.605,0.0,-3.049979266750601e-12,-0.0673939150600014,-0.9307475622554334,0.5087089992088619,53,0.4824167796661064,0.5288235017589104,1.3589275808149527e-10,-0.06829772537554907,-0.928552181019873,0.49935326108716827,0.48200656303354494,0.5287175408534641,0.0,285.62451800911214,0.0
0.655,0.0,-2.1929944549592245e-12,-0.06474784833559812,-0.9465795513632115,0.45590077564986764,54,0.4847216957715348,0.5278556958993547,1.0047200211834694e-10,-0.06695068456146736,-0.9431092508917167,0.4606094033949261,0.48476136059592156,0.5282369536775666,0.0,285.62451800911214,0.0
0.706,0.0,-1.8680991395512294e-12,-0.06502713544786594,-0.9434022102883766,0.45098493146011454,54,0.48602836346905454,0.5280810847456415,8.21505399914189e-11,-0.06600571995593042,-0.9453303269014857,0.45762636387392536,0.4862724474766039,0.5280686909413582,3.7616736101457266e-06,285.62451800911214,0.0
0.756,0.0,-1.3687707565118878e-12,-0.0664494989745024,-0.9269024649481048,0.4763346330103904,54,0.48637732809678874,0.529958005283392,6.073093891394119e-11,-0.06383453728302749,-0.926030006413097,0.46595527645183,0.4865523174622719,0.52946764400047,0.0,285.62451800911214,0.0
0.806,0.0,-1.1875776313209975e-12,-0.06673217418994687,-0.9316258383365559,0.4840579737776319,54,0.48644290369870674,0.5313601599169705,4.96494851500045e-11,-0.06567375613195142,-0.9254389144102942,0.4804205343411363,0.4865602962300757,0.5316049369987966,0.0,285.62451800911214,0.0
0.857,0.0,-8.485955755299089e-13,-0.07029185469181004,-0.9132805401728867,0.47332848809628536,54,0.48681323351054895,0.5337167231617136,3.670057698404317e-11,-0.06955886697755727,-0.919011988250836,0.4687542576342977,0.48668073945890217,0.5334071737543427,0.0,285.62451800911214,0.0
0.907,0.0,-7.261347432931919e-13,-0.07323339005697263,-0.9211878695295416,0.5177343602098604,53,0.4871581164463258,0.5347098154934097,3.000077181259965e-11,-0.07154562325248597,-0.9198733862346093,0.5175051039045516,0.487327685858619,0.534985701089978,0.0,285.62451800911214,0.0
0.957,0.0,-5.163638617139153e-13,-0.06896755158289435,-0.9269794573726562,0.5233450449545031,53,0.48452396043205725,0.5373338848798899,2.217522229800464e-11,-0.0705243024346002,-0.9306886550727062,0.5156851224468519,0.4846340511625201,0.5372632277253656,0.0,285.62451800911214,0.0
1.008,0.0,-4.27129012729338e-13,-0.07418852637972946,-0.9767415681386112,0.43341415654685805,53,0.48467762032404194,0.5385917531052634,1.8128296089092695e-11,-0.07442669491230909,-0.9551142108760314,0.4441165487133341,0.48466849466190365,0.5388371335494768,3.1352902533761046e-06,285.62451800911214,0.0
1.058,0.0,-3.0178487214569e-13,-0.07415122412310057,-0.9684224300479263,0.47669944761593935,53,0.4824980810596418,0.5430031974123728,1.3401093530545384e-11,-0.07366483987251564,-0.9654925992458843,0.4719965188425445,0.482910888480364,0.5428001788919826,0.0,285.62451800911214,0.0
1.108,0.0,-2.423917683936016e-13,-0.07370630065904855,-0.9536629730439755,0.4760406895460889,53,0.48127963623342185,0.5445860118075482,1.09571202080849e-11,-0.07420066735531873,-0.9628643632409524,0.4805228908857737,0.48127719689681475,0.5450523185070812,0.0,287.6869967095465,0.0
1.159,39954.0,0.01428172347058719,-0.0740726923615803,-0.9543486691320059,0.4994877143139564,53,0.4821134312137632,0.5466279517015511,8.101795456987575e-12,-0.07278969280303174,-0.9364427361706429,0.48981837943198764,0.48182330592676653,0.5463687306120925,0.0,287.6869967095465,0.0
1.209,40008.0,0.016883532492856495,-0.16770007676747511,-0.9190694042255302,0.5622049925402225,53,0.4847958580882741,0.5488193631953673,9.038333242457864e-09,-0.13935190020055419,-0.8977797832073758,0.5168794046543981,0.4849777233365478,0.5489670074512512,1.4456568027452924e-06,287.6869967095465,0.0
1.259,39863.0,0.014504727037215573,-0.1263072500478505,-1.1184086926918324,0.49035147383589334,53,0.49082474409983895,0.5477634352388866,-1.176848655178073e-07,-0.12888944248151618,-1.0300161861943162,0.45213126911718027,0.4902402520893744,0.547633817931051,1.5882866191565124e-05,287.6869967095465,0.0
1.31,39910.0,0.012523461193857516,-0.03873010088954931,-1.2140041906416077,0.495878775021761,53,0.49315374938657347,0.5483397996537914,-1.1067958372956362e-07,-0.0560956393661965,-1.05819767250058,0.5327595730474693,0.49375574654769416,0.5485619991219824,8.855214168087844e-05,287.6869967095465,0.0006881634597604824
