time (s),yaw,pitch,roll,battery,altitude (m),loop rate (Hz),target altitude (m)
0.0,-1.121747568400898,-0.8633523574373689,-0.698963268371196,60,0.0,299.9144797997855,0.0
0.055,-1.1224313273715048,-0.8356364227807306,-0.6959960558443253,60,0.0,299.9144797997855,0.0
0.111,-1.1251922196468822,-0.8255551998346865,-0.6940092084102236,60,0.0,299.9144797997855,0.0
0.165,-1.1256998048865912,-0.8532368078406207,-0.6894138571920678,60,0.0,299.9144797997855,0.0
0.22,-1.125436380672743,-0.8459708906099374,-0.6996283986822509,60,0.0,299.9144797997855,0.0
0.316,-1.1250343162635068,-0.851798415496747,-0.7028785049313174,60,0.0,299.9144797997855,0.0
0.369,-1.1256183355562448,-0.8421890503428513,-0.7015273228970162,60,0.0,299.9144797997855,0.0
0.483,-1.1256183355562448,-0.8421890503428513,-0.7015273228970162,60,0.0,299.9144797997855,0.0008333333333333334
0.645,-1.1238587222068985,-0.8175220595790536,-0.6993764312447177,60,0.0,299.9144797997855,0.005
0.696,-1.1238587222068985,-0.8175220595790536,-0.6993764312447177,60,0.0,299.9144797997855,0.009166666666666667
0.818,-1.1241440198997192,-0.8116308224996145,-0.6969097911714119,60,0.0,299.9144797997855,0.014166666666666668
0.878,-1.1432369246974288,-0.8443516876510602,-0.7041293027837833,60,0.0,299.9144797997855,0.018333333333333333
0.944,-1.1434222172709914,-0.8611253267852846,-0.7052941196034981,60,0.0,299.9144797997855,0.022500000000000003
1.007,-1.1453121670818407,-0.8308668514013569,-0.6950772108176066,60,0.0,299.9144797997855,0.03166666666666667
1.065,-1.1453308556349848,-0.8321863770138224,-0.6941797786426993,60,0.0,299.9144797997855,0.035
1.118,-1.145243331155466,-0.8459140614274923,-0.6985923430916816,60,0.0,299.9144797997855,0.04083333333333333
1.168,-1.1446200358463352,-0.8537604400084351,-0.7014022339117006,60,0.0,299.9144797997855,0.050833333333333335
1.225,-1.1438152249232174,-0.8760015708339298,-0.7052673137780199,60,0.0,270.11231324059764,0.058333333333333334
1.278,-1.1445497577830561,-0.8812870769422979,-0.7086435973711206,60,0.0,270.11231324059764,0.0675
1.329,-1.1448351521672164,-0.8254064495006252,-0.7169708288297919,60,0.0,270.11231324059764,0.07500000000000001
1.379,-1.1392585868523817,-0.9229476640528983,-0.6985003716692735,60,0.0,270.11231324059764,0.08416666666666667
1.43,-1.1775087841818288,-0.7636414627205107,-0.6466616119937086,60,0.0,270.11231324059764,0.09666666666666668
1.484,-1.1916237174444047,-0.5906974679991139,-0.6066698906088869,60,0.0,270.11231324059764,0.10916666666666668
1.534,-1.3027588652889546,-0.5057951660551339,-0.49337742237889193,60,0.0,270.11231324059764,0.12166666666666667
1.588,-1.3099189744282662,-0.37297958118102476,-0.02620482582537526,60,0.0,270.11231324059764,0.13083333333333333
1.641,-1.5817997536451383,-0.2819435898727988,0.0827986203047899,60,0.0,270.11231324059764,0.14166666666666666
1.692,-2.2258528742454855,-0.43316338791336007,0.722093017371275,60,0.0,270.11231324059764,0.15166666666666667
1.752,-1.947740393807104,-0.09178334881404815,0.54498023246353,60,0.0,270.11231324059764,0.16416666666666668
1.804,-1.5981836456639176,-0.12241684820099018,0.4826366177594624,60,0.0,270.11231324059764,0.17666666666666667
1.854,-1.3486257544836153,-0.21954729344047727,0.5008243882060517,60,0.0,299.03778696706115,0.18583333333333335
1.905,-1.1635937104164586,0.003216655294844348,0.3525077064967453,60,0.0,299.03778696706115,0.19833333333333333
1.955,-0.9551690315505911,0.07053468789347893,0.4014917818820082,60,0.0,299.03778696706115,0.21083333333333334
2.008,-0.740358659188283,0.08200363138730943,0.21698608551287604,60,0.0,299.03778696706115,0.22416666666666668
2.06,-0.5762323107600569,0.5243955749085909,0.26191931062575546,60,0.0,299.03778696706115,0.2366666666666667
2.11,-0.40402146621173957,0.10944149480590348,0.28619878776838564,60,0.0,299.03778696706115,0.24916666666666668
2.161,-0.22140951412795035,0.1806777272513666,0.41773926135282763,60,0.0,299.03778696706115,0.26166666666666666
2.213,-0.03136685686937739,0.15858713999009097,0.46059099886691357,60,0.011937921505120273,299.03778696706115,0.2733333333333334
2.263,0.11041885597633978,0.20126412029311885,0.46140227524750327,60,0.01722012778512383,299.03778696706115,0.2841666666666667
2.313,0.150869514336554,-0.14654288522218498,0.559049041736013,60,0.03148539440113293,299.03778696706115,0.2966666666666667
2.363,0.2039801698799036,-0.19029440666326083,0.5028589644010273,60,0.03232615203378435,299.37930049964314,0.3091666666666667
2.413,0.18525892235972752,-0.3068583096392906,0.42774120064373294,60,0.031319196658455874,299.37930049964314,0.32083333333333336
2.463,0.15798509563162189,0.03048088487310657,0.4260169133944327,60,0.03536636918518115,299.37930049964314,0.33333333333333337
2.513,0.13915081102449825,-0.08501273084089944,0.448532516977712,60,0.04493076058876584,299.37930049964314,0.34500000000000003
2.567,0.08164217928506025,-0.11222235439433144,0.46394312648893815,60,0.04745928297745504,299.37930049964314,0.35833333333333334
2.621,0.018153616855917435,-0.09704226980331386,0.5337132928524765,60,0.055973018177461906,299.37930049964314,0.37000000000000005
2.672,-0.039869475189201135,-0.011894856375206883,0.5840023275057077,60,0.056329759915558546,299.37930049964314,0.3825
2.722,-0.11436078982476683,0.09527503711433129,0.5892910930222386,60,0.05791656164049327,299.37930049964314,0.395
2.777,-0.19969972630551944,-9.335920546937877e-05,0.6310392803323099,60,0.06480192120243118,299.37930049964314,0.4083333333333334
2.829,-0.3865748297118701,0.10503124922578527,0.5811666950375854,60,0.07955802937498171,299.37930049964314,0.41833333333333333
2.879,-0.4585947389779024,0.14594591667653925,0.6078724177211946,60,0.08735526938621954,298.86732221747184,0.43083333333333335
2.93,-0.5201095918755331,0.10708722853812325,0.6572043463312435,60,0.09917661907924193,298.86732221747184,0.4425
2.984,-0.5958423541867235,0.32748459726900137,0.6516535545561442,60,0.10318974471270395,298.86732221747184,0.45583333333333337
3.034,-0.6443625339182205,0.4001342057751254,0.7021951590832657,60,0.11227039466117085,298.86732221747184,0.4683333333333334
3.084,-0.6783767880067103,0.28049751734313977,0.7525403245089369,60,0.11697191481599352,298.86732221747184,0.48000000000000004
3.134,-0.6788986552345564,0.2892425025064041,0.7604102053920929,60,0.13009020774381036,298.86732221747184,0.49250000000000005
3.185,-0.6803306491018082,0.3154778932497859,0.7608208753314509,60,0.15415267603638658,298.86732221747184,0.505
3.235,-0.6478225089068875,0.47158066471803123,0.7660114040377803,60,0.16594492675765282,298.86732221747184,0.5175000000000001
3.288,-0.5637088729111102,0.6736982867704554,0.7546092245844762,60,0.1728826462163227,298.86732221747184,0.5275000000000001
3.343,-0.5258602715286319,0.5530928630150553,0.7703085091897316,60,0.18988589891210114,298.86732221747184,0.5408333333333334
