time (s),yaw,pitch,roll,battery,altitude (m),loop rate (Hz),target altitude (m)
0.0,-0.22390547221570128,-0.22809897686015873,0.06957070268820424,69,0.0,299.1230922835544,0.0
0.051,-0.22550623047270724,-0.2353631237946469,0.05280754095315738,69,0.0,299.1230922835544,0.0
0.101,-0.22495484606611557,-0.31231369724755526,-0.08750146653406099,69,0.0,299.1230922835544,0.0
0.151,-0.22620356810091943,-0.24200345073717375,0.13547749768801626,69,0.0,299.1230922835544,0.01
0.203,-0.2190824222303206,-0.007982248022076463,0.02073075009361287,69,0.0,299.1230922835544,0.023333333333333334
0.257,-0.21799405111272507,-0.5174324609970212,0.8539192717413487,69,0.0,299.1230922835544,0.03666666666666667
0.307,-0.2662303884940579,0.10152633724531711,-2.1243104366814465,69,0.0,299.1230922835544,0.04916666666666667
0.358,-0.15568320020972892,0.19488984985535904,0.2286586558937005,69,0.0,291.35204223395385,0.06166666666666667
0.411,-0.4129991789354572,0.44687895288326024,0.014425130126485579,69,0.0,291.35204223395385,0.07416666666666667
0.464,-0.526702430239744,0.7473523223788797,-0.2826178214761825,69,0.0,291.35204223395385,0.08750000000000001
0.514,-0.6852355419552858,1.0396538018441441,-0.38494917178417587,69,0.0,291.35204223395385,0.1
0.565,-0.9114749128092179,0.6670279123871304,0.437619934592037,69,0.0,291.35204223395385,0.1125
0.62,-1.1651905064819694,-2.4091519801553916,0.4874266947509147,69,0.0,291.35204223395385,0.12583333333333335
0.674,-1.3052992561978336,1.152441239804559,0.16633812478756646,69,0.0,291.35204223395385,0.14
0.729,-1.7168383479371478,0.8385386437277409,-0.07468976362368916,69,0.0,291.35204223395385,0.15333333333333335
0.781,-2.0125406811283773,0.9792492513816083,0.5847466595285958,69,0.0,291.35204223395385,0.16583333333333333
0.833,-2.4516336808570776,0.3523340552320039,0.6425301519067199,69,0.0,291.35204223395385,0.17833333333333334
0.883,-2.7250430027983223,0.2210173349693599,-0.007819243623138605,69,0.0,299.65735514753163,0.19083333333333335
0.935,-2.940898681551751,0.38478293635159644,0.5354400643855994,69,0.0,299.65735514753163,0.20333333333333334
0.985,-3.0668960467850255,0.5045077940153925,0.7976216415440475,69,0.0,299.65735514753163,0.21583333333333335
1.039,-3.291427155801678,0.15398729788090237,0.307659075229431,69,0.0,299.65735514753163,0.22916666666666669
1.093,-3.5390693547121903,0.5385151245347667,0.49321486724999675,69,0.0,299.65735514753163,0.24250000000000002
1.146,-3.8330305818756245,0.7260055639596399,0.09527335565270693,69,0.11407611123967457,299.65735514753163,0.25583333333333336
