time (s),yaw,pitch,roll,battery
0.0,69.9814626795953,0.7525614139124769,1.3948749490733794,53
0.02,69.97981279767043,0.7702567646304309,1.4174839047924626,53
0.041,69.98003107794038,0.7486303140017047,1.3796575989167679,53
0.061,69.9804611068399,0.722432951044261,1.3632286916247238,53
0.082,69.98049784169062,0.7648150874388553,1.3709618877791172,53
0.102,69.98206115105899,0.779855831743802,1.4094129392878847,53
0.122,69.98389806577183,0.8021727448632902,1.4303673173244629,53
0.143,69.98417267607023,0.8054050956841742,1.4138725029930022,53
0.163,69.98508686243257,0.7640845682247344,1.4073895982783382,53
0.183,69.98487416971392,0.7775971697665964,1.4464694782020253,53
0.204,69.98476011695232,0.7693616674319754,1.3871122814678558,53
0.224,69.98523648540387,0.7605279692409425,1.3890620901490003,53
0.244,69.98432856099456,0.7829420457985937,1.3968600399178797,53
0.265,69.98470305612948,0.795203552656328,1.3793325960374734,53
0.285,69.98454717317797,0.7972526702418511,1.371226899268179,53
0.305,69.98330839831432,0.7965372762167379,1.347365419260349,53
0.326,69.98274200200274,0.754770181135712,1.31510666269792,53
0.346,69.9850666508854,0.7658807275903163,1.3187359858782965,53
0.366,69.98520204968166,0.7393149720128561,1.3871486800727502,53
0.386,69.9839932421964,0.6955890678214366,1.3867895111454833,53
0.406,69.98454448988764,0.7334988901801265,1.3640534860257043,53
0.426,69.98607282672543,0.7493297080513196,1.3249853467336492,53
0.447,69.98838964055818,0.7473946206964579,1.3331756033319488,53
0.468,69.98848454805228,0.7544508466212465,1.3540214511141533,53
0.488,69.98791321095386,0.7386860812214087,1.4283982342459072,53
0.508,69.98735493682886,0.7489737367937551,1.4221301462201212,53
0.528,69.98821253198729,0.7681337681049634,1.3743584935955506,53
0.549,69.99028110070078,0.7814921364506585,1.3515521182877974,53
0.569,69.99202039382465,0.781127338338911,1.3487150948625914,53
0.589,69.99311421122975,0.7233944837107124,1.3291709618528924,53
0.609,69.99185259936225,0.7207341581062506,1.3990536939246763,53
0.63,69.99155887105498,0.7580638227468187,1.3987192222933322,53
0.65,69.99243205888467,0.7588112717984073,1.3609504586310073,53
0.67,69.99032415039488,0.7925023280458717,1.3812424853724439,53
0.691,69.9886103479431,0.7637761268026184,1.3961847226810118,53
0.711,69.9882393855432,0.7714310992068453,1.4329454651595066,53
0.731,69.98787303562685,0.7978741667693421,1.4221994212636906,53
0.751,69.98775385681085,0.7695057513624038,1.3916192386482176,53
0.771,69.98722545607556,0.7000722309865247,1.3671697506242748,53
0.792,69.98611187742985,0.7582633718466872,1.4298692067920795,53
0.812,69.98418443354602,0.7466139203366079,1.4276515413160353,53
0.832,69.98478250329661,0.7260871747657096,1.4687037756130459,53
0.853,69.9848755687131,0.7045038290353519,1.4635082280356555,53
0.873,69.98387975653479,0.7364222211301558,1.3681713711593928,53
0.893,69.98409511344904,0.7085635075019608,1.3410649700879986,53
0.914,69.98598746091969,0.741663229865089,1.4177282840016905,53
0.934,69.98617656979495,0.7064499087720311,1.431857370510515,53
0.954,69.9865624369775,0.712286074272607,1.4113426578419095,53
0.974,69.98647950903472,0.6976064778107502,1.3977024488846181,53
0.995,69.98571330950713,0.7119637598744816,1.3821357380549122,53
1.015,69.98647396811809,0.7144332508302211,1.378666239093479,53
1.036,69.98438857615349,0.6869976993467009,1.3869456781749083,53
1.056,69.98253934964929,0.7430343466115795,1.4221958518989064,53
1.076,69.98255416240225,0.7302773404547733,1.451517178152728,53
1.097,69.98323644941435,0.7325088576517953,1.4080608221237478,53
1.117,69.98299543597524,0.7227842939811969,1.3735672339726677,53
1.138,69.98505178685126,0.681929369079895,1.372215150578507,53
1.158,69.98426180763497,0.6969291243533893,1.4116618518018382,53
1.178,69.98459888043433,0.7172128312469964,1.3612718279222757,53
1.199,69.98406565308714,0.7142299991728676,1.370627142794995,53
1.219,69.98235817578627,0.7001204619383373,1.3901994966436217,53
1.239,69.98303186791438,0.7574207637658519,1.4001537498838919,53
1.259,69.98233214304452,0.7591536963021009,1.389923380582823,53
1.28,69.98333226434136,0.7599147146504941,1.3813567120017396,53
1.3,69.98549543892646,0.7746124737411928,1.3580727581752121,53
1.32,69.98543299742259,0.7707030780943634,1.3416535711107875,53
1.34,69.9886333343157,0.7586308309240708,1.365536506223601,53
1.361,69.98805500669467,0.7552002305088412,1.4105795987261736,53
1.381,69.98916708671375,0.7641296840773479,1.4038234725027419,53
1.401,69.99073735983218,0.7752029219444777,1.4099001231459696,53
1.421,69.99127395932314,0.7227408175418781,1.3763367531219899,53
1.441,69.99150618445753,0.7111855718612563,1.4044602604394518,53
1.461,69.99049992257599,0.7427238144451233,1.418393738451141,53
1.482,69.99137062615866,0.7827073167469157,1.4033956507513123,53
1.502,69.99180349415072,0.7747145660953362,1.4203429659207556,53
