time (s),yaw,pitch,roll,battery,altitude (m),loop rate (Hz),target altitude (m)
2.607,-23.36785917375797,-0.6755719182472966,0.6942454000450643,56,0.3546326495041132,299.5931428571429,0.5900000000000001
2.658,-23.448337634539506,-0.6040787542182527,0.6817710885675519,56,0.36479236512089713,299.5931428571429,0.6025
2.711,-23.517040542322572,-0.5921845421278052,0.6562506103267539,56,0.38558968046776376,299.5931428571429,0.6141666666666667
2.761,-23.588348624089143,-0.5252663611528563,0.6981283448617702,56,0.39827101352735755,299.5931428571429,0.625
2.812,-23.644867365510965,-0.5329248670629189,0.6747063309898221,56,0.4084284197318172,299.5931428571429,0.625
2.862,-23.698738239288637,-0.5577925589206539,0.6936803074147931,56,0.4204267007241038,299.5931428571429,0.625
2.915,-23.73263964149122,-0.5343758955308768,0.715510642811641,56,0.42806553501021943,299.5931428571429,0.625
2.966,-23.760667911678883,-0.4956335731266135,0.6906898637624783,56,0.43819632868109415,299.5931428571429,0.625
3.016,-23.764378074939007,-0.5200549270361461,0.7160685557917102,56,0.44265748612392525,299.57174487536605,0.625
3.067,-23.76832509437677,-0.5907706545772063,0.7335663601870749,56,0.45024373055540073,299.57174487536605,0.625
3.117,-23.768742266030326,-0.521220928999213,0.6881893876984562,56,0.4497569889339408,299.57174487536605,0.625
3.168,-23.773240440382228,-0.42146630684431197,0.6850816930349577,56,0.45198601611248906,299.57174487536605,0.625
3.218,-23.789069038107904,-0.2818190061676754,0.7034498616341739,56,0.4512222948101064,299.57174487536605,0.625
3.271,-23.81744094994128,-0.40406193754541886,0.6913451651548164,56,0.45269691421436586,299.57174487536605,0.625
3.322,-23.86105206009474,-0.3561685179463987,0.756492610328869,56,0.4610687506175927,299.57174487536605,0.625
3.375,-23.89378084901877,-0.32930779176668135,0.7156912513137474,56,0.4696703813083823,299.57174487536605,0.625
3.426,-23.94474120163129,-0.21171486832804975,0.6694600540510541,56,0.4847073568287496,299.57174487536605,0.625
3.478,-23.9892979424314,-0.17342659205420408,0.6783877162900986,56,0.48083104695267903,299.57174487536605,0.625
3.53,-24.009147908304115,-0.18184593390087572,0.7282900476804934,56,0.47349848343051276,299.3365686554382,0.625
3.583,-24.066920700617988,-0.14925172388162145,0.750011115492818,56,0.46712970169713014,299.3365686554382,0.625
3.634,-24.118297112423207,-0.06291142706349988,0.6937829495005623,56,0.46898346933520624,299.3365686554382,0.625
3.685,-24.174781826055646,-0.08319355684674834,0.6267432300534646,56,0.4718437790878451,299.3365686554382,0.625
3.735,-24.22964363180908,0.030758465342952113,0.6131014721844896,56,0.479159385901204,299.3365686554382,0.625
3.788,-24.25119001586291,-0.0005068106491122136,0.5550905765525047,56,0.4984105601804893,299.3365686554382,0.625
3.838,-24.27588399785699,0.05020944134549183,0.5046620872819421,56,0.5047337766254826,299.3365686554382,0.6350000000000002
3.892,-24.30826908795361,0.17402757947832617,0.47328487267249036,56,0.5063119225851248,299.3365686554382,0.6475000000000005
3.942,-24.34928112687526,0.15456895773287313,0.44448377322053706,56,0.5125081984123834,299.3365686554382,0.6583333333333341
3.992,-24.363677868686704,0.23617246293669558,0.41636167832836113,56,0.5213718709407114,299.3365686554382,0.6708333333333344
4.043,-24.373919322110662,0.21744181899125875,0.4367266193076904,56,0.5182801744674316,299.3365686554382,0.6833333333333347
4.094,-24.364159014707685,0.1469735559473984,0.4216645000167743,56,0.5167847201648131,299.65735514753163,0.6941666666666683
4.146,-24.329330838063598,0.23030306374736542,0.4156119502867694,56,0.5272570539438232,299.65735514753163,0.7075000000000019
4.2,-24.287184086238913,0.2757683247059555,0.3586662790961929,56,0.5284972802738872,299.65735514753163,0.7200000000000022
4.251,-24.238019470130045,0.27454488307146424,0.356176836983316,56,0.5336053998532977,299.65735514753163,0.7325000000000025
4.302,-24.21559276575996,0.27716770314107714,0.4050766705329314,56,0.5389946316385873,299.65735514753163,0.7450000000000028
4.352,-24.211211015565727,0.21567348720037113,0.3840290727798127,56,0.5514000470859567,299.65735514753163,0.755000000000003
4.403,-24.239747949504306,0.27265478122835934,0.31334717701912873,56,0.5352376166383693,299.65735514753163,0.7675000000000033
4.454,-24.254192309590437,0.317379105727097,0.3359182546943343,56,0.5338082422411999,299.65735514753163,0.7808333333333369
4.508,-24.270872287952827,0.22962190244330202,0.3565718460579306,56,0.5252838872868573,299.65735514753163,0.7908333333333372
4.559,-24.262778622859486,0.2634240655317189,0.3506776406633643,56,0.5677604859074096,299.65735514753163,0.8008333333333374
4.611,-24.2662801847699,0.2454891054814965,0.26349206299847555,56,0.559857177752943,283.85923118570656,0.8125000000000043
4.667,-24.265702570376614,0.2658648196611821,0.2656308139502012,56,0.5671677372989781,283.85923118570656,0.8250000000000046
4.717,-24.28304636175447,0.23964319224298192,0.2509409508180888,56,0.578825627394252,283.85923118570656,0.8375000000000049
4.767,-24.315951162543524,0.21206033146709047,0.2162323710956983,56,0.6176941255594723,283.85923118570656,0.8483333333333385
4.818,-24.375775817849796,0.19071246887056653,0.1491776117573315,56,0.6309290950816666,283.85923118570656,0.8608333333333388
4.868,-24.435213839063675,0.09394954354105059,0.06644000278070307,56,0.6666192621362553,283.85923118570656,0.8733333333333391
4.919,-24.4736560366245,0.03252073116127046,-0.007826117984858364,56,0.69905405951017,283.85923118570656,0.8833333333333393
4.971,-24.478954868712812,0.0821063526433626,0.030020048624736055,56,0.7338597896428999,283.85923118570656,0.8958333333333396
5.024,-24.5224714964478,0.08609466022192001,0.03545446951268913,56,0.7627900952187365,283.85923118570656,0.9083333333333399
5.074,-24.596713591970463,0.07142239465045634,0.012735586277021685,56,0.7830429256330741,283.85923118570656,0.9208333333333402
5.124,-24.702766111229504,0.034607681952717476,0.02761263903067769,56,0.8049265401028608,283.85923118570656,0.9333333333333405
