time,thrust,velocity,yaw,pitch,roll,battery,x,y,z,yaw obs,pitch obs,roll obs,x obs,y obs,z obs,loop rate (Hz),target altitude (m)
0.0,0.0,-5.6168159845807975e-16,-21.74136861821221,-0.49097121955093853,0.6306351208523987,57,0.3483620961049598,0.6728110433857798,2.822868090194447e-14,-21.74135044705046,-0.48326670231063357,0.6317541901265955,0.3485578711721837,0.6725329401668819,0.0,284.67319532314957,0.0
0.051,0.0,-4.0850232925701974e-16,-21.74247597838331,-0.47186350380817,0.6558860007104401,57,0.34954957219817434,0.6707417111507257,2.0873792934263103e-14,-21.741374777289764,-0.4833685600542614,0.6402086088844381,0.3498937683021021,0.6707763400759965,2.1451958351189088e-05,287.95208454237013,0.0
0.101,0.0,-3.304535253244411e-16,-21.740441389040853,-0.4973181253665133,0.6446232874541807,57,0.34781856811601125,0.668485498733744,1.7069081644249724e-14,-21.74241548933679,-0.4875239745231212,0.650413903287699,0.3478417700328903,0.6684061581895223,0.0,287.95208454237013,0.0
0.152,0.0,-2.4452007708739805e-16,-21.73830791256533,-0.4959241625007879,0.6232377943801005,57,0.3469735004822571,0.665515679393723,1.2622579702543903e-14,-21.739809878162017,-0.49519715018490423,0.6319046901314651,0.3473066984525479,0.6656479742859557,3.006120711977518e-05,287.95208454237013,0.0
0.202,0.0,-1.9165435410430467e-16,-21.733661934629346,-0.5158089449438938,0.6138914904971161,57,0.34610646817467394,0.6646824834603768,1.032283985676592e-14,-21.734792564232652,-0.5147759387515566,0.6211725217479471,0.3460171598273408,0.6645654344160261,0.0,287.95208454237013,0.0
0.252,0.0,-1.5070962109457678e-16,-21.734008874857892,-0.4823723627455852,0.6504618211460055,57,0.34365667887986323,0.6622386159914696,7.633369244796985e-15,-21.732808199165703,-0.4865861571044824,0.6296731154614992,0.34406992840000555,0.6627451428458063,5.3320897521138984e-05,287.95208454237013,0.0
0.303,0.0,-1.2284102570212107e-16,-21.738600475487285,-0.4812156676902786,0.6585423769942546,57,0.34333277272022966,0.6600591806197197,6.2417844919549585e-15,-21.737628181052777,-0.4851935726020835,0.6631599320255793,0.3432826340051628,0.6598032630827448,0.0,287.95208454237013,0.0
0.353,0.0,-9.094808191080708e-17,-21.7370953112339,-0.47816688446074107,0.6393538439692902,57,0.3414814320977798,0.6559529630119856,4.615020400974971e-15,-21.737689938728725,-0.47829003049378727,0.642716748682326,0.34160117877588186,0.6559951287799815,0.0,287.95208454237013,0.0
0.403,0.0,-7.246506556147426e-17,-21.740941997252364,-0.43469120853609866,0.6388191366202143,57,0.34095542527059425,0.6527905008854749,3.773921491250022e-15,-21.740520624557778,-0.45333051903450144,0.6466403340954759,0.3409300677821597,0.652433000140085,0.0,287.95208454237013,0.0
0.453,0.0,-5.155894900575504e-17,-21.74633869723409,-0.45947138560864625,0.6740283856522643,57,0.3414778023125228,0.6481586087102899,2.791017133119656e-15,-21.7438992560534,-0.4359573089418851,0.6764008217918303,0.3413237465876752,0.6482573751700476,8.108000696377017e-06,287.95208454237013,0.0
0.503,0.0,-4.127034022475888e-17,-21.749958649573852,-0.48630840286212107,0.6502868302426619,57,0.3410849855797798,0.646274889748025,2.282670103878586e-15,-21.749625361033655,-0.4832599504846587,0.6610385838354854,0.3410950580152208,0.6460286195170337,0.0,287.95208454237013,0.0
0.554,0.0,-3.1926906499453027e-17,-21.752087659735132,-0.4825644926171878,0.6620727843971573,57,0.3404054009246954,0.6421762462094864,1.688298264588611e-15,-21.751785219120045,-0.48773639472260333,0.6508524125347411,0.3403735510344473,0.6421628058318903,0.0,287.95208454237013,0.0
0.604,0.0,-2.6810208541200928e-17,-21.752870747109313,-0.4907804413645656,0.6685345033731984,57,0.34246346427534513,0.6411105308709643,1.380632600612766e-15,-21.753684318029777,-0.48287048146524825,0.6555389837758727,0.3424023884221773,0.6406183818927845,0.0,284.86782119398424,0.0
0.654,0.0,-2.0782531268001392e-17,-21.754138060357,-0.4986073882506023,0.6723620752210392,57,0.3467530491056926,0.6401997836269243,1.0207490257913654e-15,-21.75495932254856,-0.5047778967481045,0.6827724656861724,0.3468508077828882,0.6400703292576183,0.0,284.86782119398424,0.0
0.705,0.0,-1.7327127355109867e-17,-21.75544256638044,-0.49500317752842327,0.6110331881715052,57,0.34801578452517085,0.6385764818876996,8.345561373825234e-16,-21.755727902365216,-0.5009221762806333,0.616904699793046,0.34831511721152786,0.6384328228056472,0.0,284.86782119398424,0.0
