time (s),yaw,pitch,roll,battery,acc_x,acc_y,acc_z,gyro_roll,gyro_pitch,gyro_yaw,altitude (m),loop rate (Hz),target altitude (m)
0.0,0.09976520780136922,0.28820693053214125,-0.04320120477767591,71,-0.006612841039896011,-0.0014334068400785327,0.9977732300758362,-0.3489842414855957,-0.1157955452799797,-0.012983673252165318,0.0,284.4753119913185,0.0
0.05,0.09998208745209644,0.2876938517033162,-0.04779174314338391,71,-0.006605217698961496,-0.003670431673526764,0.9975641369819641,-0.21922896802425385,0.1403593122959137,0.05527714639902115,0.0,284.4753119913185,0.0
0.101,0.09859833429122178,0.29069596612413223,-0.0574369650748857,71,-0.006723837461322546,-0.0033895354717969894,0.9975091218948364,-0.11778198182582855,-0.03717760369181633,-0.0020188591443002224,0.0,284.4753119913185,0.0
0.151,0.09786715090930853,0.2926204101810976,-0.05903360921598738,71,-0.005204033572226763,-0.0012992643751204014,0.9977104663848877,-0.35244378447532654,0.009299061261117458,-0.009505108930170536,0.0,284.4753119913185,0.0
0.202,0.09956348563810598,0.2850638583303804,-0.06591968233655515,71,-0.005877875257283449,-0.0012390782358124852,0.9975333213806152,-0.20216263830661774,0.020923325791954994,0.1313343197107315,0.0,284.4753119913185,0.0
0.252,0.09754350607133189,0.28578253541881443,-0.05885432601558271,71,-0.0074503361247479916,0.0009037039126269519,1.000056505203247,-0.14538903534412384,-0.06353754550218582,-0.06626450270414352,0.0,284.4753119913185,0.0
0.303,0.09503651048288174,0.276658838889003,-0.05281038473545419,71,-0.0027454455848783255,0.0019950910937041044,0.9963706731796265,-0.3372528553009033,-0.16828997433185577,-0.10172354429960251,0.0,265.41188381952793,0.0
0.353,0.09549432659718668,0.2721182729036486,-0.0497765231585258,71,-0.004090745467692614,-0.0011283325729891658,0.997200071811676,-0.2164459079504013,0.04121708124876022,0.03396417573094368,0.0,265.41188381952793,0.0
0.404,0.0944839554865924,0.2778743118349421,-0.05738421654689972,71,-0.005385036580264568,-0.002237939042970538,0.9953040480613708,0.012455212883651257,0.015354318544268608,0.2484014928340912,0.0,265.41188381952793,0.0
0.454,0.09346701402947574,0.27549241876904396,-0.04601900461259203,71,-0.003619670867919922,0.000895343255251646,0.9980387091636658,-0.4413353502750397,0.02887997217476368,-0.012305798940360546,0.0,265.41188381952793,0.0
0.504,0.09147647766954596,0.27776315221613107,-0.052459130713637975,71,-0.007124899886548519,-0.001022683340124786,0.9977606534957886,-0.07175429165363312,0.07852387428283691,0.10921584069728851,0.0,265.41188381952793,0.0
0.555,0.09036454546995983,0.27677867329263434,-0.04635340105954827,71,-0.004382967483252287,0.0006578895263373852,0.9981667399406433,-0.14628466963768005,-0.07486037164926529,0.12227281183004379,0.0,265.41188381952793,0.0
0.606,0.09109015971452442,0.2795959990882266,-0.05380079189533971,71,-0.005270474590361118,-0.0014434057520702481,1.0013468265533447,0.0032587863970547915,0.01700194738805294,-0.06989353150129318,0.0,265.41188381952793,0.0
0.656,0.09015012915616437,0.2799740594884466,-0.05252933180800703,71,-0.003969742450863123,-0.0011813468299806118,0.9971826076507568,-0.10454344749450684,0.05489114299416542,0.0048967688344419,0.0,265.41188381952793,0.0
0.707,0.09029156146589153,0.279731744972873,-0.04741319625339463,71,-0.004373729228973389,-0.00022485174122266471,0.9988982081413269,0.016218723729252815,-0.053077105432748795,-0.008630995638668537,0.0,265.41188381952793,0.0
0.757,0.088373392621803,0.2813599117446961,-0.05251635300012146,71,-0.007618085481226444,-0.0017486511496827006,0.9967738389968872,-0.002281294669955969,-0.07938171923160553,0.27422478795051575,0.0,265.41188381952793,0.0
0.808,0.09057042535172169,0.2907328589522101,-0.048630824139362594,71,-0.005619947332888842,-0.00012507049541454762,0.9973347187042236,-0.21017847955226898,0.0761355310678482,0.13973118364810944,0.0,285.5988015797358,0.0
0.858,0.09378186711833837,0.28085330591224517,-0.049144734744029375,71,-0.004969259258359671,-0.0013471303973346949,0.9969208240509033,0.01930704340338707,-0.0010172758484259248,0.07614222168922424,0.0,285.5988015797358,0.0
0.909,0.09310543204734621,0.28261693514384545,-0.05228841260839337,71,-0.006284337490797043,-0.00214385986328125,0.9988414645195007,0.016221415251493454,-0.10399845242500305,0.012986162677407265,0.0,285.5988015797358,0.0
0.959,0.09364624426251603,0.28794470878472134,-0.06051305938392921,71,-0.003356700763106346,-0.0019069488625973463,1.0000910758972168,-0.07446150481700897,-0.010960742831230164,0.0387536883354187,0.0,285.5988015797358,0.0
1.01,0.09466744571283527,0.284473944109547,-0.0504421503056793,71,-0.005447397008538246,0.0019475296139717102,0.9982871413230896,0.0647844597697258,0.16788031160831451,0.43047767877578735,0.0,285.5988015797358,0.0
1.06,0.09359377110182437,0.28895439636633846,-0.05197631133375067,71,-0.003977156709879637,-0.0025603894609957933,0.9969621300697327,-0.0873924046754837,-0.16196610033512115,0.03171231970191002,0.0,285.5988015797358,0.0
1.11,0.0926880859921254,0.28730249968624727,-0.06410673330085091,71,-0.004560990259051323,-0.0038942445535212755,0.9983245730400085,-0.25066500902175903,-0.2204430103302002,0.017014428973197937,0.0,285.5988015797358,0.0
1.161,0.09323364317773862,0.2790686755108019,-0.05411849937337381,71,-0.004567780997604132,0.001422545756213367,0.9988843202590942,0.11696245521306992,-0.0173361673951149,0.24377942085266113,0.0,285.5988015797358,0.0
1.211,0.09497419494046992,0.27723407681353956,-0.05400026033836617,71,-0.004359278362244368,0.0007476602913811803,0.9976124167442322,-0.10600043833255768,-0.1086752638220787,0.03574879840016365,0.0,285.5988015797358,0.0
1.262,0.09648888363443187,0.2802765630840984,-0.03853961660319404,71,-0.005839348305016756,0.001576523412950337,1.000017762184143,-0.22685515880584717,0.22147203981876373,0.10098275542259216,0.0,285.5988015797358,0.0
1.312,0.09551172531252991,0.2804216824471057,-0.04064706660868861,71,-0.00421756599098444,0.0004001129709649831,0.9993260502815247,-0.12468647956848145,-0.06651964783668518,0.1307506114244461,0.0,285.5988015797358,0.0
1.362,0.09428527215921545,0.2831500848035414,-0.03684479369987562,71,-0.007522751577198505,-0.00010482607467565686,0.9968917369842529,-0.15920357406139374,-0.09114024043083191,-0.024100961163640022,0.0,291.51403947734224,0.0
1.413,0.09328292071429599,0.2773532598254237,-0.04969846706603579,71,-0.004062499385327101,-0.0025554646272212267,0.9986088871955872,-0.3053617775440216,0.06675194948911667,0.14448577165603638,0.0,291.51403947734224,0.0
1.463,0.09242943089668851,0.2758221208132406,-0.05120615267495316,71,-0.004468846134841442,-0.0009444025927223265,0.9971575140953064,0.08051089197397232,-0.026555310934782028,-0.017063163220882416,0.0,291.51403947734224,0.0
1.513,0.09337853452912358,0.2768135733234286,-0.054596011101319,71,-0.003317443421110511,-0.00019340653670951724,0.9981353878974915,-0.4117717742919922,-0.0024295244365930557,0.11945909261703491,0.0,291.51403947734224,0.0
1.564,0.09335810011942168,0.2771273613268457,-0.05539564108704727,71,-0.004929865710437298,-0.001963465241715312,0.9976698756217957,-0.2540954351425171,-0.22560077905654907,-0.08324017375707626,0.0,291.51403947734224,0.0
1.614,0.09286883846390839,0.2807116589871162,-0.060000368620290456,71,-0.006053830496966839,0.00037642213283106685,0.9965208172798157,-0.134305939078331,0.036930397152900696,0.015131011605262756,0.0,291.51403947734224,0.0
1.664,0.09207026322742157,0.27909917810039647,-0.05797692591514401,71,-0.004869125317782164,-0.00238543632440269,0.9959949851036072,-0.2638269066810608,-0.05734613537788391,0.007620475720614195,0.0,291.51403947734224,0.0
1.715,0.09397987856939309,0.28028206447945814,-0.05746691280759392,71,-0.004135149531066418,-0.001306735910475254,0.9974504709243774,-0.30398181080818176,-0.12197712063789368,0.027700379490852356,0.0,291.51403947734224,0.0
1.765,0.09496625803248751,0.2754067096528281,-0.05030490005848171,71,-0.0057065850123763084,0.0006466975901275873,0.9962630867958069,-0.29502543807029724,0.014918423257768154,-0.07791833579540253,0.0,291.51403947734224,0.0
1.815,0.09361083286981926,0.2758658556960731,-0.05236165223271585,71,-0.004618353210389614,-0.0005891923792660236,0.9965324401855469,-0.2135375440120697,-0.0898820087313652,-0.0917956531047821,0.0,291.51403947734224,0.0
1.865,0.09244773683623947,0.28474411860424353,-0.0534196585324176,71,-0.0052659232169389725,-0.002628789748996496,0.9981525540351868,-0.2573452293872833,-0.13276346027851105,-0.09659998118877411,0.0,291.51403947734224,0.0
1.916,0.09198011789075954,0.2905390215565159,-0.05711094866880404,71,-0.008081946521997452,-0.0003860032302327454,0.9982662796974182,-0.24053415656089783,-0.024033986032009125,0.050874024629592896,0.0,260.1925558312655,0.0
1.966,0.09226652352895559,0.29382846288662623,-0.05339062702008386,71,-0.005864422302693129,-0.0011995078530162573,0.9991174340248108,-0.19270911812782288,0.027145657688379288,0.14291083812713623,0.0,260.1925558312655,0.0
2.016,0.09139740215803166,0.28296225683000353,-0.0545482888965294,71,-0.005359712056815624,-0.0009545357315801084,0.9987484812736511,-0.1068662479519844,0.03047896921634674,-0.09958444535732269,0.0,260.1925558312655,0.0
2.066,0.09231486691650607,0.2820060741070661,-0.05754046763180517,71,-0.004507867153733969,-0.0006735085626132786,0.9994090795516968,-0.12185461819171906,0.06377515196800232,0.03139803931117058,0.0,260.1925558312655,0.0
2.117,0.0908582944183969,0.2857246667298655,-0.049619523942033374,71,-0.004562285728752613,0.00228308979421854,0.9957576394081116,-0.0264041218906641,0.07112585753202438,0.10500509291887283,0.0,260.1925558312655,0.0
2.167,0.09044291749497305,0.28221693249285595,-0.04662554246943702,71,-0.004241789225488901,-0.002259760396555066,0.997723400592804,0.07832939177751541,0.08325058966875076,-0.006856873631477356,0.0,260.1925558312655,0.0
2.217,0.09019947309238176,0.28840285996340426,-0.053322813137892354,71,-0.0036504315212368965,-0.002626893576234579,0.999626636505127,-0.1286436915397644,-0.012745601125061512,0.004733249545097351,0.0,260.1925558312655,0.0
2.268,0.09188418468631517,0.2819011480228335,-0.057653909978706064,71,-0.006958194077014923,-0.0019708441104739904,0.9991002082824707,-0.10143683105707169,0.021198006346821785,0.190633162856102,0.0,260.1925558312655,0.0
2.318,0.09376761636698422,0.28124999590475225,-0.06648373096568494,71,-0.004983043298125267,-0.0009990254184231162,0.9988508820533752,-0.07697759568691254,0.1090446263551712,0.15249450504779816,0.0,260.1925558312655,0.0
2.369,0.09425578451332133,0.28413010063581834,-0.06995550169522795,71,-0.005489557981491089,-0.0011286103399470448,0.9955736994743347,0.16959992051124573,0.027282532304525375,0.38485050201416016,0.0,260.1925558312655,0.0
2.419,0.095669339376986,0.28743799615468,-0.05564522617342719,71,-0.006757927592843771,0.0027436967939138412,0.9957208633422852,-0.1826404631137848,-0.06910072267055511,0.1684851199388504,0.0,269.57413715534415,0.0
2.469,0.09830562097007618,0.28601975021964055,-0.05297473753741794,71,-0.0050907377153635025,0.0011403128737583756,0.9966678619384766,0.08641884475946426,-0.048139724880456924,0.2509884834289551,0.0,269.57413715534415,0.0
2.519,0.10105273499851394,0.28447445869123167,-0.05365486784343702,71,-0.006393787916749716,-2.0270828827051446e-05,0.9990007877349854,0.02348245494067669,0.049141090363264084,0.1845223605632782,0.0,269.57413715534415,0.0
2.57,0.09911258143510235,0.2843345049311224,-0.04418115713571905,71,-0.004958756733685732,-0.0006147102103568614,0.9977461099624634,-0.3725847005844116,-0.03821960464119911,0.031130777671933174,0.0,269.57413715534415,0.0
2.621,0.1006883243856281,0.2870793873589762,-0.042296837027028904,71,-0.005393786355853081,-0.0005444559501484036,0.9979674816131592,-0.286723792552948,-0.11898914724588394,0.02079005353152752,0.0,269.57413715534415,0.0
2.672,0.09904080564225355,0.2837320715564758,-0.03667305103540749,71,-0.007887701503932476,0.0003888010105583817,0.9967283606529236,-0.22974196076393127,-0.0327347032725811,-0.15340086817741394,0.0,269.57413715534415,0.0
2.722,0.09795088413722619,0.2916412170304416,-0.03901397226694643,71,-0.0067198132164776325,-0.0010349085787311196,0.9961864352226257,-0.014235872775316238,-0.013513831421732903,0.15800750255584717,0.0,269.57413715534415,0.0
2.772,0.09697760261473366,0.2893993777689933,-0.04255947845101126,71,-0.005037500057369471,-0.00013310999202076346,0.9983950257301331,-0.2584255635738373,0.026012804359197617,0.07892119139432907,0.0,269.57413715534415,0.0
2.823,0.09683033958378164,0.286196564168708,-0.04648987831961347,71,-0.0040013715624809265,-0.0007693677907809615,0.9985886216163635,-0.22963373363018036,0.1587570756673813,0.1276395469903946,0.0,269.57413715534415,0.0
2.873,0.09973210740502264,0.2862909362434438,-0.05195250201265415,71,-0.008237860165536404,-0.0012662789085879922,0.9991924166679382,-0.13750775158405304,0.1355067789554596,-0.021095501258969307,0.0,269.57413715534415,0.0
2.923,0.09798421769206084,0.2848440233811113,-0.05042146002461459,71,-0.0036126081831753254,-0.0004793518455699086,0.9981675744056702,-0.09773370623588562,-0.16036847233772278,0.279806911945343,0.0,269.57413715534415,0.0
2.973,0.09671847801461023,0.28198803538563,-0.05686696295682933,71,-0.004586734343320131,0.0002107352192979306,0.9980014562606812,-0.4634954333305359,0.0773572251200676,-0.15542028844356537,0.0,282.53984506567866,0.0
3.024,0.0967828032906504,0.28287626738997984,-0.049703094447863735,71,-0.007146128453314304,8.931681077228859e-05,0.9995881915092468,-0.07747159153223038,-0.16193795204162598,0.08865927159786224,0.0,282.53984506567866,0.0
3.074,0.09717862587989383,0.28666416294383334,-0.04455974744219839,71,-0.006210658233612776,-0.0002474962384440005,0.9964142441749573,-0.0719776526093483,0.21239829063415527,0.14419449865818024,0.0,282.53984506567866,0.0
3.125,0.09641421592076618,0.29087163393750826,-0.04421678428578765,71,-0.0062834350392222404,-0.0009403434814885259,0.9965107440948486,0.05189305916428566,-0.021699367091059685,0.05065014958381653,0.0,282.53984506567866,0.0
3.176,0.0942502887531659,0.2875949312433263,-0.04662589843537457,71,-0.0051009454764425755,-1.253180016647093e-05,0.9990156292915344,0.1017443910241127,0.08888369798660278,0.11696899682283401,0.0,282.53984506567866,0.0
3.226,0.09468195093944665,0.283612829906502,-0.04887216765599204,71,-0.004818886052817106,0.001333841122686863,0.9968279600143433,-0.1579473614692688,-0.04719328135251999,0.03223728388547897,0.0,282.53984506567866,0.0
3.277,0.09498543547695329,0.28025793420642753,-0.0495678071411672,71,-0.004751317203044891,-0.002839961089193821,0.9984586834907532,0.13110707700252533,0.08975536376237869,0.14080169796943665,0.0,282.53984506567866,0.0
3.327,0.09396325903111678,0.28043163070174115,-0.05239728173666087,71,-0.005551367532461882,-0.0011631808010861278,0.9993227124214172,-0.022916633635759354,-0.03966118022799492,0.08434832841157913,0.0,282.53984506567866,0.0
3.379,0.09430907329374683,0.28046876112360436,-0.04787478999158361,71,-0.0042708744294941425,0.0008248602971434593,0.9970120787620544,0.10359665006399155,-0.006747817154973745,0.08887537568807602,0.0,282.53984506567866,0.0
3.429,0.09374629998050929,0.2758712192004784,-0.04837164505491062,71,-0.004948039073497057,-0.0012922013411298394,0.9997026324272156,-0.1336251199245453,-0.08118794858455658,0.10157597064971924,0.0,282.53984506567866,0.0
3.48,0.09072935865754908,0.2692269818271098,-0.04409117633804177,71,-0.00489488709717989,0.00032092133187688887,0.9972594380378723,-0.26058095693588257,0.09664348512887955,-0.09480254352092743,0.0,282.53984506567866,0.0
3.53,0.0930910560211074,0.2709913970894972,-0.03923976949862487,71,-0.006157627794891596,0.0004924911190755665,0.9995794892311096,-0.2429526001214981,0.016317836940288544,-0.1116638332605362,0.0,282.8065538399299,0.0
3.581,0.09303515763605813,0.2694424989848422,-0.0398274735072016,71,-0.004652245435863733,0.0017250850796699524,1.000355839729309,-0.4337502121925354,0.01767921634018421,0.08288516104221344,0.0,282.8065538399299,0.0
3.631,0.09318260609374528,0.26306775981283964,-0.04824067355912754,71,-0.004326841328293085,-0.0019495890010148287,1.0010660886764526,-0.06384448707103729,0.02303338795900345,0.01271066628396511,0.0,282.8065538399299,0.0
3.681,0.09151118348801186,0.27116697650375854,-0.04819264054348583,71,-0.0061310771852731705,-0.00027030002092942595,0.9984879493713379,-0.027564214542508125,-0.05841023102402687,-0.03295144438743591,0.0,282.8065538399299,0.0
3.732,0.0921712079404741,0.2850512856077604,-0.04666097478401801,71,-0.005674689542502165,-0.00183306192047894,0.9995191097259521,-0.042371828109025955,-0.004811202175915241,0.2674543261528015,0.0,282.8065538399299,0.0
3.782,0.09382512915332317,0.2797457402186948,-0.047672274482837354,71,-0.005098872818052769,-0.0033859959803521633,1.0000207424163818,-0.366048663854599,0.10571648925542831,-0.07804324477910995,0.0,282.8065538399299,0.0
3.832,0.09250551380606664,0.27237678889324235,-0.04954207064505074,71,-0.006782492622733116,-0.0020370313432067633,0.9983629584312439,-0.30829617381095886,-0.11495174467563629,0.012369110248982906,0.0,282.8065538399299,0.0
3.883,0.09290122667735543,0.26262114378850154,-0.040890419586660544,71,-0.003911235835403204,0.001068277284502983,0.9961197376251221,-0.043105367571115494,0.19716516137123108,0.01662331260740757,0.0,282.8065538399299,0.0
3.934,0.09477483264210952,0.26032702366061833,-0.03321134372115566,71,-0.0034838670399039984,0.0003889369254466146,0.9988490343093872,-0.06094162166118622,0.000467084493720904,-0.1709543913602829,0.0,282.8065538399299,0.0
3.984,0.09093237000196303,0.2589911994230827,-0.04525279099249363,71,-0.0050010704435408115,-0.0006859833374619484,0.9999920725822449,-0.16836383938789368,-0.12063664942979813,0.23801785707473755,0.0,282.8065538399299,0.0
4.035,0.09113770631882094,0.2606916575002174,-0.05075100429082294,71,-0.0036452196072787046,-0.0020024359691888094,0.9986043572425842,-0.20164553821086884,0.1740618795156479,0.010011349804699421,0.0,282.8065538399299,0.0
4.085,0.08990391202097867,0.26103211690305905,-0.047278410459887156,71,-0.005006503779441118,0.0011663871118798852,0.9974617958068848,-0.10228210687637329,-0.17281877994537354,0.2436707764863968,0.0,261.9966268973702,0.0
4.135,0.09176408477666803,0.2599911634492208,-0.05413339285625174,71,-0.006026955787092447,-0.0003054767439607531,0.99808269739151,-0.22410133481025696,-0.08415234833955765,0.2116539627313614,0.0,261.9966268973702,0.0
4.186,0.09159467192822227,0.2685360245050972,-0.04873308774721868,71,-0.006695473100990057,-0.0011314700823277235,0.9977074861526489,-0.1591218113899231,-0.07461509108543396,0.1710803210735321,0.0,261.9966268973702,0.0
4.236,0.09223772081495911,0.2712204754646794,-0.045773003038635726,71,-0.005144867580384016,-0.0023773317225277424,0.9966667890548706,-0.34658852219581604,-0.04815696179866791,0.004503992851823568,0.0,261.9966268973702,0.0
4.287,0.09135809888320531,0.2674750471043355,-0.04499802693099342,71,-0.006257076282054186,-0.0009998073801398277,0.9978312253952026,-0.3250119090080261,-0.1466647982597351,-0.0731125921010971,0.0,261.9966268973702,0.0
4.337,0.09317088786179703,0.2722400749502167,-0.04737290477393074,71,-0.005678222049027681,5.3291809308575466e-05,0.996440589427948,-0.014939101412892342,-0.1762508600950241,0.2719023525714874,0.0,261.9966268973702,0.0
4.387,0.09217197254589192,0.27602823377508096,-0.058729624098982434,71,-0.006760375574231148,-0.0027823299169540405,0.9993302226066589,-0.05703715234994888,-0.07237157970666885,0.09095367789268494,0.0,261.9966268973702,0.0
4.438,0.09173919455348609,0.2673055676374236,-0.056082746181682214,71,-0.005307620856910944,-0.00014853548782411963,1.0003310441970825,-0.1689038723707199,-0.06742019206285477,-0.04858612269163132,0.0,261.9966268973702,0.0
4.488,0.09295489609138063,0.2705533068648684,-0.05389469657144125,71,-0.005041385535150766,-0.0001751931558828801,0.9947559237480164,-0.18509982526302338,0.03742644190788269,0.22301098704338074,0.0,261.9966268973702,0.0
4.539,0.09332797261863922,0.27210275437706155,-0.05761142715322293,71,-0.004044319503009319,-0.00241838488727808,1.000411868095398,-0.06047971546649933,-0.004773368593305349,-0.02874651737511158,0.0,261.9966268973702,0.0
4.589,0.09308147149171792,0.2702027359667162,-0.06407638298743745,71,-0.00439995713531971,-0.0008689954411238432,0.9969476461410522,0.0647130012512207,-0.04288358613848686,0.1685878485441208,0.0,261.9966268973702,0.0
4.64,0.09127745120378666,0.26727543386707187,-0.06251412100467159,71,-0.006591723300516605,-0.0015055371914058924,0.9981246590614319,-0.21447151899337769,0.009515319019556046,0.10151876509189606,0.0,274.4065423617926,0.0
4.69,0.09189890563764083,0.2710940522384964,-0.07105644249025396,71,-0.006320393644273281,-0.0035068609286099672,0.9970991611480713,-0.014775790274143219,-0.12732738256454468,-0.00036966672632843256,0.0,274.4065423617926,0.0
4.742,0.09336545503775849,0.2705412120016954,-0.07782189226790354,71,-0.004615019075572491,-0.0020103412680327892,0.9987092614173889,-0.06362634897232056,-0.07171209156513214,0.13604821264743805,0.0,274.4065423617926,0.0
4.792,0.0939443041716395,0.27735769341115435,-0.07905283739821525,71,-0.004482203628867865,-0.00041720361332409084,0.9990310072898865,-0.0019655656069517136,-0.022166943177580833,0.16464364528656006,0.0,274.4065423617926,0.0
4.843,0.0946968837334747,0.2738677945297968,-0.07360194703152836,71,-0.00516892084851861,-4.923307278659195e-05,0.9998642206192017,-0.027625827118754387,-0.006026762537658215,-0.16387447714805603,0.0,274.4065423617926,0.0
4.894,0.09299276183106094,0.2767197994183836,-0.07297814310127008,71,-0.007270296569913626,-0.0016312868101522326,0.9985939860343933,-0.27298179268836975,-0.14297303557395935,0.06360381096601486,0.0,274.4065423617926,0.0
4.944,0.09543639197937652,0.2783849152563176,-0.08240479008893166,71,-0.005470796022564173,-0.0013583069667220116,0.9989252090454102,-0.11085774749517441,-0.10317979007959366,-0.07486103475093842,0.0,274.4065423617926,0.0
4.996,0.09263810024057384,0.27406144118357334,-0.07986795490921941,71,-0.005470389034599066,0.001109024859033525,0.9967015385627747,-0.043782345950603485,-0.03355349600315094,0.06345544755458832,0.0,274.4065423617926,0.0
5.046,0.09163517115299749,0.2709947983093142,-0.08062940342771951,71,-0.0018173007993027568,-0.001536690746434033,1.0020464658737183,-0.16473494470119476,0.10189297795295715,-0.1773013472557068,0.0,274.4065423617926,0.0
5.096,0.09133305841082777,0.2708730158531189,-0.07734534051393462,71,-0.008615285158157349,-0.0015395386144518852,0.9959536194801331,0.012967968359589577,0.01885228231549263,-0.1416381150484085,0.0,274.4065423617926,0.0
5.147,0.09189165865027651,0.2720363395091644,-0.06942347746990815,71,-0.006029544863849878,-0.001987362978979945,0.996627688407898,-0.11812026798725128,0.13469351828098297,0.02336772345006466,0.0,273.5653535090008,0.0
5.197,0.09355220380193977,0.2761335151654898,-0.07491531781614501,71,-0.006232559215277433,0.0006891543744131923,0.9968432188034058,-0.18763117492198944,0.05390746891498566,0.20656774938106537,0.0,273.5653535090008,0.0
5.247,0.09198491283074363,0.26759939129662974,-0.06743260658234691,71,-0.004003864247351885,-0.0004280120774637908,0.9980178475379944,-0.15916302800178528,0.17290917038917542,0.1263013333082199,0.0,273.5653535090008,0.0
5.298,0.08931928865486284,0.27380340626517224,-0.06100467671019572,71,-0.004046705085784197,-0.0007804802153259516,0.9977502226829529,-0.25765150785446167,0.16842101514339447,-0.26139169931411743,0.0,273.5653535090008,0.0
5.349,0.08839459102109137,0.2732827541078026,-0.060358939986212376,71,-0.005938591901212931,0.00031371047953143716,0.9995953440666199,-0.3193835914134979,0.09079645574092865,-0.05359808728098869,0.0,273.5653535090008,0.0
5.399,0.08892840307607223,0.27308112114573857,-0.055439919141197155,71,-0.0063901436515152454,0.00034321736893616617,0.9977779388427734,-0.08673456311225891,-0.01719795912504196,0.15157246589660645,0.0,273.5653535090008,0.0
5.45,0.08917213612648156,0.27452627963139015,-0.0634485336367986,71,-0.0052452366799116135,-0.002242875983938575,0.9969369173049927,-0.14480550587177277,0.1716577708721161,0.07684068381786346,0.0,273.5653535090008,0.0
5.5,0.09280593311653378,0.2742182187959434,-0.055443354319441696,71,-0.003057946218177676,0.0009288505534641445,0.9982986450195312,-0.2104836404323578,-0.06694353371858597,0.06624995917081833,0.0,273.5653535090008,0.0
5.551,0.09299967278312721,0.27035904305382685,-0.06124538521746078,71,-0.004444550722837448,-7.140431989682838e-05,0.9957789182662964,-0.09235166013240814,-0.06208160147070885,0.3258938789367676,0.0,273.5653535090008,0.0
5.601,0.09582177560267062,0.26897755218387354,-0.06279299146793872,71,-0.00522206537425518,-0.004840993322432041,0.9977988600730896,-0.1791776418685913,-0.020207710564136505,-0.07281914353370667,0.0,273.5653535090008,0.0
5.652,0.0951548872632892,0.2752070248498555,-0.05187028499241311,71,-0.00513208145275712,0.0015444401651620865,0.9976930618286133,-0.21701952815055847,-0.17173296213150024,0.13091425597667694,0.0,273.5653535090008,0.0
5.702,0.0970767456272551,0.2869301957621011,-0.04589065443120335,71,-0.007290886249393225,-0.0022539820056408644,0.9979363083839417,-0.004285723436623812,-0.06106051802635193,0.11084465682506561,0.0,281.40248238846027,0.0
5.753,0.09782570888793775,0.28603564776670337,-0.04334475730880023,71,-0.004930848255753517,-0.0006740871467627585,0.9971367120742798,-0.19572560489177704,-0.06626549363136292,-0.17877097427845,0.0,281.40248238846027,0.0
5.803,0.09676317871066878,0.29066794575178556,-0.03737952631419836,71,-0.005116359330713749,0.0015850134659558535,1.000459909439087,0.07722597569227219,0.13288576900959015,-0.062483690679073334,0.0,281.40248238846027,0.0
5.854,0.09703738044844679,0.2800663429264679,-0.03696236427739385,71,-0.003731328761205077,0.0010903412476181984,0.9981879591941833,-0.07453108578920364,-0.29222729802131653,0.3531809449195862,0.0,281.40248238846027,0.0
5.904,0.09713506183153575,0.2750467812938188,-0.04143490718350001,71,-0.005031711887568235,-0.0008621517918072641,0.9988051056861877,-0.05193924531340599,-0.020964395254850388,-0.10006996989250183,0.0,281.40248238846027,0.0
5.954,0.09827268197238484,0.27248320743892146,-0.04381185856902672,71,-0.004534698091447353,0.0005934324581176043,0.9970861077308655,-0.12602095305919647,0.06918416917324066,0.13374625146389008,0.0,281.40248238846027,0.0
6.004,0.09897384382190383,0.27464798083708136,-0.052320067246786325,71,-0.006405321415513754,-8.789181447355077e-05,0.9971426725387573,0.04890356957912445,-0.008114363998174667,-0.02817830629646778,0.0,281.40248238846027,0.0
6.054,0.10110121867607932,0.2813843460157008,-0.0587103424108385,71,-0.003916695713996887,-0.0016086690593510866,0.997657835483551,-0.012232519686222076,-0.17750373482704163,0.14947903156280518,0.0,281.40248238846027,0.0
6.105,0.10008405503197516,0.28043079047826525,-0.058535972631690414,71,-0.004501393996179104,-0.0015856412937864661,0.9994139075279236,0.017277324572205544,-0.1278693974018097,0.09965916723012924,0.0,281.40248238846027,0.0
