time (s),yaw,pitch,roll,battery,acc_x,acc_y,acc_z,gyro_roll,gyro_pitch,gyro_yaw,altitude (m),loop rate (Hz),target altitude (m)
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.3268027210884,0.0
0.05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.3268027210884,0.0
0.101,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.3268027210884,0.0
0.151,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.6571545324525,0.0
0.201,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.6571545324525,0.0
0.252,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.6571545324525,0.0
0.302,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.6571545324525,0.0
0.352,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.6571545324525,0.0
0.404,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.6571545324525,0.0
0.454,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.6571545324525,0.0
0.504,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.6571545324525,0.0
0.555,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.6571545324525,0.0
0.605,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.6571545324525,0.0
0.655,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.6571545324525,0.0
0.705,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.25464333781963,0.0
0.756,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.25464333781963,0.0
0.806,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.25464333781963,0.0
0.857,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.25464333781963,0.0
0.907,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.25464333781963,0.0
0.957,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.25464333781963,0.0
1.008,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.25464333781963,0.0
1.058,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.25464333781963,0.0
1.108,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.25464333781963,0.0
1.16,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.25464333781963,0.0
1.21,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.25464333781963,0.0
1.26,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.2356503600027,0.0
1.31,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.2356503600027,0.0
1.361,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.2356503600027,0.0
1.411,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.2356503600027,0.0
1.462,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.2356503600027,0.0
1.512,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.2356503600027,0.0
1.562,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.2356503600027,0.0
1.613,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.2356503600027,0.0
1.663,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.2356503600027,0.0
1.713,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.2356503600027,0.0
1.763,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.54047246238684,0.0
1.814,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.54047246238684,0.0
1.864,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.54047246238684,0.0
1.914,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.54047246238684,0.0
1.964,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.54047246238684,0.0
2.014,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.54047246238684,0.0
2.065,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.54047246238684,0.0
2.115,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.54047246238684,0.0
2.166,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.54047246238684,0.0
2.217,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.54047246238684,0.0
2.268,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.54047246238684,0.0
2.318,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.9319008718336,0.0
2.368,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.9319008718336,0.0
2.419,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.9319008718336,0.0
2.47,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.9319008718336,0.0
2.52,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.9319008718336,0.0
2.571,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.9319008718336,0.0
2.621,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.9319008718336,0.0
2.672,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.9319008718336,0.0
2.722,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.9319008718336,0.0
2.772,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.9319008718336,0.0
2.823,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.9319008718336,0.0
2.873,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.18844102356354,0.0
2.923,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.18844102356354,0.0
2.974,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.18844102356354,0.0
3.024,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.18844102356354,0.0
3.074,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.18844102356354,0.0
3.124,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.18844102356354,0.0
3.175,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.18844102356354,0.0
3.225,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.18844102356354,0.0
3.275,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.18844102356354,0.0
3.325,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.18844102356354,0.0
3.376,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.3401383845996,0.0
3.426,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.3401383845996,0.0
3.476,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.3401383845996,0.0
3.526,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.3401383845996,0.0
3.577,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.3401383845996,0.0
3.627,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.3401383845996,0.0
