time (s),yaw,pitch,roll,battery
0.0,-1.5734822425126822,-2.477291374064667,-4.214900510738123,50
0.02,-1.5858006068108923,-2.6195445958878127,-4.210995234751839,50
0.041,-1.588551054428024,-2.673121847262644,-4.155447148300231,50
0.061,-1.588217727291053,-3.01236927637874,-3.92362265460289,50
0.082,-1.5998310676329057,-3.1065290907642957,-3.9018020949737577,50
0.102,-1.5933250956291405,-2.829874523229317,-4.142293036660079,50
0.123,-1.5650509712896084,-2.3276981641449193,-4.078688792484455,50
0.143,-1.5566286141738106,-2.0518618689065735,-3.8400957639974913,50
0.164,-1.5871167705227052,-2.172638916328255,-3.7868328261222035,50
0.184,-1.6083270286047338,-2.178904111364527,-4.333201889886612,50
0.204,-1.5845214126841398,-2.0357040409387763,-4.652929360937809,50
0.224,-1.5846429990657072,-1.804967290672414,-4.604428722033835,50
0.245,-1.6105852562358363,-1.556576405914653,-4.707470604765651,50
0.265,-1.6259727987632857,-1.7105489448704942,-4.906733708004288,50
0.286,-1.6421914619974416,-2.0983967671260326,-4.6396483691609545,50
0.306,-1.665426698814258,-2.495506802891752,-4.134377538140475,50
0.326,-1.6761150903130186,-2.7803485075193786,-3.6179590053509543,50
0.347,-1.6530659068440061,-2.728986616676153,-3.2321951485358453,50
0.367,-1.6387455852605584,-2.5585537798238644,-3.2010097775767843,50
0.388,-1.6371533860777419,-2.378992561912208,-3.934018892404758,50
0.408,-1.6235886079641093,-2.3827854728204727,-4.227730060447301,50
0.428,-1.6246441184981644,-2.374599465991268,-4.645888538986789,50
0.448,-1.6243206709992857,-2.4442744661799756,-4.8384724376850885,50
0.469,-1.6224810918333443,-2.642010878120862,-4.8898419215877755,50
0.489,-1.6274614207671914,-2.421625886250286,-5.238556910100677,50
0.509,-1.6311245312888343,-2.1757599650788695,-5.076610283442533,50
0.53,-1.6385209772846931,-1.7347389899746997,-4.9337584478450625,50
0.55,-1.6381721391050568,-1.7860049332683468,-4.597232587496094,50
0.57,-1.6360331504750767,-1.9371327531193832,-4.176482353578946,50
0.59,-1.6472630364150738,-2.1402976929291797,-3.9733591424294765,50
0.611,-1.6404674073091647,-2.2992458779412592,-3.9789303376785123,50
0.631,-1.6239320104192294,-2.2638728865081026,-4.211731479159388,50
0.651,-1.6328753646477432,-2.3829099617269187,-4.25398296497811,50
0.671,-1.6509954550439951,-2.3659652662518282,-4.360418098709632,50
0.691,-1.6353274344374904,-2.0500023773698843,-4.352087383641348,50
0.712,-1.6092174670426311,-1.9673379892154645,-4.37723451296356,50
0.732,-1.6340078417343784,-2.185186231169772,-4.626432075022684,50
0.752,-1.6718711791484022,-2.3919992904868264,-4.795963321639973,50
0.772,-1.676978680185334,-2.537394882741216,-4.6330300551474455,50
0.792,-1.6443565314284336,-2.585487927834405,-4.503409916869638,50
0.812,-1.6386105830958309,-2.474266451604404,-4.503609294684472,50
0.833,-1.6360671318747586,-2.1945338017633573,-4.879819021517327,50
0.853,-1.6233247892808296,-2.1879838129573472,-5.0924378889856365,50
0.874,-1.6445950066202357,-2.1637342569989633,-4.856233255547564,50
0.894,-1.6396185768337974,-1.9995896244647218,-4.878851486959524,50
0.915,-1.6322058663132426,-2.0668511404754564,-4.905330601584461,50
0.935,-1.651727065315484,-2.292186846449985,-5.080652195217562,50
0.955,-1.6491990682097966,-2.1311553722641716,-4.931863553776887,50
0.976,-1.6284584500570392,-1.7407868765802914,-4.558607729888394,50
0.996,-1.611466349212762,-1.7044956417785195,-4.635529422327446,50
1.017,-1.6094957271374286,-1.866827805189,-4.633442441266003,50
1.037,-1.6458115918915865,-2.150873916999934,-4.609144948319276,50
1.058,-1.6560547962374912,-2.32277018203629,-4.64256908902659,50
1.078,-1.6429158049409338,-2.50388508677631,-4.702565160151757,50
1.098,-1.6354645606539793,-2.5131532525553686,-4.577597422126477,50
1.118,-1.6426806320728318,-2.383637284758169,-4.623098452172882,50
1.139,-1.6538052487339245,-2.255127128397116,-4.8508920558894735,50
1.159,-1.6617128513069022,-2.2794409836078486,-5.149152020978583,50
1.179,-1.647949630203229,-2.338833444025707,-5.169301918982388,50
1.199,-1.6451670539851622,-2.2495856854554916,-5.11314001631466,50
1.22,-1.6499854385848638,-2.1011289399546293,-5.016365388358615,50
1.24,-1.6791897608910207,-2.217887671764528,-4.9289974162995716,50
1.26,-1.6893852854713745,-2.3476864397853165,-5.116545079982136,50
1.281,-1.6702136542913737,-2.3424842251910176,-5.0628526275242285,50
1.301,-1.6835235067203842,-2.270226495162146,-4.905232263338964,50
1.322,-1.6963646149940887,-2.344970302190803,-4.89917669188838,50
1.342,-1.6985188740725585,-2.2836080467902407,-4.890944608145129,50
1.363,-1.6888775569404086,-2.257419816022468,-4.980244439513735,50
1.383,-1.7015645189305926,-2.3321126973401216,-4.889255113074774,50
1.403,-1.7121854750206293,-2.2174700023509906,-4.833367782217997,50
1.423,-1.7333658874394866,-2.112839030315892,-4.81530035965114,50
1.444,-1.7328245300641894,-2.0174610535048596,-4.8227117033870535,50
1.464,-1.7150931812658965,-2.0759040802989968,-4.681971125871799,50
1.484,-1.7120714077689354,-2.217045358031251,-4.749785678844078,50
1.504,-1.716024244672934,-2.2691429743713325,-5.0271418761321245,50
1.525,-1.724581840073737,-2.4007825430286283,-5.326825851016061,50
1.545,-1.7487823520183075,-2.3818687823515834,-5.350645192431746,50
1.566,-1.7363709242548044,-2.302435699137302,-5.010378365025474,50
1.586,-1.7496669888609777,-2.2953303584866545,-4.9970867959161716,50
1.607,-1.7515893015894024,-1.7850536668479053,-5.026826204512756,50
1.627,-1.7340627358403653,-1.6457879885102078,-4.921359063801975,50
1.647,-1.7468368620649501,-1.7370808359443366,-4.650257888932453,50
1.668,-1.7406989820971264,-1.8748935546812262,-4.777919462357742,50
1.688,-1.704576044796778,-1.9847021417738435,-5.0477320841304,50
1.708,-1.6932299387789385,-2.288750600914592,-5.132065376544206,50
1.729,-1.705030496047027,-2.5585870023024815,-4.776889680559232,50
1.749,-1.7032777036699795,-2.716578736703633,-4.741817891274892,50
1.77,-1.7016232066940344,-2.834492281472274,-4.906845733313165,50
1.79,-1.6964467354402795,-2.6167707138327074,-5.084632575867043,50
1.81,-1.6730268235087957,-2.273213967930841,-5.125464143318194,50
1.83,-1.6484840358728585,-1.9438151161780082,-5.239465363237828,50
1.851,-1.6366083448365638,-1.84633195154607,-5.244104431105561,50
1.871,-1.6212228210179414,-1.7661621990465024,-5.139019982278449,50
1.892,-1.596145753639551,-1.8081648151593428,-5.2744933109316685,50
1.912,-1.5868316653129888,-1.7840700338053828,-5.251375241148446,50
1.932,-1.5831197915723578,-1.876427919163651,-5.244417875620561,50
1.952,-1.5662760371517805,-1.9506076281735054,-5.354615322423969,50
1.973,-1.5641183378472618,-2.055689940720349,-5.382035352540939,50
1.993,-1.572838099197737,-2.071990811216349,-5.232773741899982,50
2.014,-1.5820460766855202,-2.220970372865203,-5.25708120969002,50
2.034,-1.5962862738971406,-2.603352696095879,-5.097063081695229,50
2.055,-1.6151919168702467,-2.6597666560806874,-5.125965958953077,50
2.075,-1.6144414201372912,-2.486780640834046,-5.118893670736399,50
2.096,-1.619939269199454,-2.3450921710406702,-5.139378111706142,50
2.117,-1.620050480145842,-2.0233984389214217,-5.060795496428745,50
2.137,-1.6273030565599877,-1.978740214841704,-5.312634109093491,50
