time (s),yaw,pitch,roll,battery,acc_x,acc_y,acc_z,gyro_roll,gyro_pitch,gyro_yaw,altitude (m),loop rate (Hz),target altitude (m)
0.0,78.47477043287348,-0.5415330926749201,0.7026045672481571,83,0.007317632436752319,0.014125095680356026,0.9976003766059875,0.06902975589036942,-0.33509695529937744,-0.038352303206920624,4.538533954513048e-95,285.85183670687655,0.0
0.05,78.47546779630584,-0.5444630218146583,0.6764190538295378,83,0.00789272878319025,0.010155260562896729,0.9976786971092224,0.016782773658633232,0.02579852007329464,0.059593282639980316,4.1146696432910076e-95,285.85183670687655,0.0
0.101,78.47323215976594,-0.5362939338582144,0.6730117876204174,83,0.008074101060628891,0.012362291105091572,0.9988463521003723,-0.04500354826450348,-0.03637605533003807,-0.028289956972002983,3.548486314039109e-95,285.85183670687655,0.0
0.151,78.47149179302053,-0.541061024840547,0.6883344205019873,83,0.01062044594436884,0.01101821381598711,0.996909499168396,-0.20570175349712372,0.08344612270593643,-0.06371263414621353,3.210306343986838e-95,285.85183670687655,0.0
0.202,78.47090916904446,-0.5340486121525353,0.6687435064187776,83,0.008709467016160488,0.010048272088170052,1.0007855892181396,-0.06049603596329689,0.03507352992892265,-0.032952502369880676,2.7615920238502042e-95,285.85183670687655,0.0
0.252,78.47069536183248,-0.5296352001949802,0.7199017075770611,83,0.009892771951854229,0.014305731281638145,0.9972889423370361,0.03711342811584473,-0.06892888993024826,0.06204203516244888,2.49727684289107e-95,285.85183670687655,0.0
0.303,78.47188694926992,-0.5514944794437823,0.7126559406507685,83,0.00922861322760582,0.012616010382771492,0.9977391958236694,-0.1450672745704651,-0.0554167702794075,-0.0835631862282753,2.1479186552612656e-95,284.90042113843225,0.0
0.353,78.46956575880255,-0.5872094275730516,0.7081649358968906,83,0.010057595558464527,0.011345729231834412,0.9968788623809814,-0.11278222501277924,-0.14544658362865448,0.07367391139268875,1.838338265443843e-95,284.90042113843225,0.0
0.403,78.47027190993424,-0.5350979923971393,0.7135989138321861,83,0.008068985305726528,0.01311461627483368,0.999509334564209,-0.00945897027850151,0.07627878338098526,-0.09773759543895721,1.660887425845429e-95,284.90042113843225,0.0
0.454,78.47418946454079,-0.5399334710957279,0.7063705855061436,83,0.010044318623840809,0.01225996483117342,0.9974567890167236,-0.10668802261352539,-0.14358997344970703,0.08547316491603851,1.5068669810383262e-95,284.90042113843225,0.0
0.505,78.4733672573262,-0.5263662306318133,0.724980828310015,83,0.007753853686153889,0.014745152555406094,0.9973514080047607,-0.19975750148296356,-0.003327665850520134,0.006100683473050594,1.2965827428073724e-95,284.90042113843225,0.0
0.555,78.4725605260871,-0.5368881605888235,0.7293123397606497,83,0.010155776515603065,0.01323347631841898,0.9966046214103699,-0.06782806664705276,-0.09628201276063919,0.1500704139471054,1.1164233434791567e-95,284.90042113843225,0.0
0.605,78.47191215248776,-0.5222618543144576,0.7250276942940487,83,0.008923249319195747,0.012108657509088516,0.9969602823257446,-0.18357285857200623,-0.16517838835716248,0.042158931493759155,1.0056263528301053e-95,284.90042113843225,0.0
0.656,78.47217474594548,-0.5670422990809266,0.7105338194082014,83,0.011726977303624153,0.013718757778406143,0.9972770810127258,-0.11581255495548248,-0.15646512806415558,-0.0026440408546477556,8.632027616094911e-96,284.90042113843225,0.0
0.707,78.47076295895951,-0.5513944329685304,0.7266815651003634,83,0.010331522673368454,0.011674615554511547,1.0029329061508179,-0.20122045278549194,-0.03692605718970299,0.05852146074175835,7.788167911644301e-96,284.90042113843225,0.0
0.757,78.47440020995985,-0.5444689445957355,0.7476404578155177,83,0.007981925271451473,0.01345742680132389,0.9963359236717224,-0.1282547265291214,0.006059183739125729,0.22695916891098022,6.690907208378468e-96,284.90042113843225,0.0
0.807,78.47561546135863,-0.5515294417030179,0.7068208699733166,83,0.008331356570124626,0.009895657189190388,0.9973017573356628,0.1363763064146042,-0.014641194604337215,0.002600959734991193,6.0726263849614345e-96,285.6377008989376,0.0
0.858,78.47263598748684,-0.5400938776506748,0.6771816462886404,83,0.008730367757380009,0.012297234497964382,0.9978312253952026,-0.17198431491851807,0.038492877036333084,0.0055706738494336605,5.240388467578503e-96,285.6377008989376,0.0
0.908,78.47484721769501,-0.5486543140260636,0.6789071198165176,83,0.010158476419746876,0.01135859452188015,0.996721088886261,0.08911975473165512,-0.03320913016796112,0.1564159095287323,4.757366949381268e-96,285.6377008989376,0.0
0.959,78.47639390461975,-0.5434129349225378,0.6319243561047144,83,0.008651676587760448,0.009556417353451252,0.9971457719802856,-0.033700428903102875,0.040573325008153915,-0.10795886069536209,4.131684452377296e-96,285.6377008989376,0.0
1.009,78.47864289237438,-0.5019342628165258,0.6272543966735203,83,0.00660898070782423,0.012284297496080399,0.99843829870224,-0.10814304649829865,0.07146809995174408,-0.0519794262945652,3.767323509752397e-96,285.6377008989376,0.0
1.06,78.47671565301113,-0.49143210978560525,0.6802156095476344,83,0.006785801146179438,0.013123571872711182,0.9983504414558411,-0.20707803964614868,0.08941689878702164,-0.2194458395242691,3.2655312280975465e-96,285.6377008989376,0.0
1.11,78.47434177829369,-0.5011037527727502,0.6795591963276892,83,0.008248751983046532,0.013039996847510338,0.9966883063316345,0.09870389103889465,-0.28534066677093506,0.1449151635169983,2.9715131071283136e-96,285.6377008989376,0.0
