time,thrust,velocity,yaw,pitch,roll,battery,x,y,z,yaw obs,pitch obs,roll obs,x obs,y obs,z obs,loop rate (Hz),target altitude (m)
0.0,0.0,-1.1486146127541468e-08,-0.5686914837569014,-0.48529982042701825,0.8258145939039627,55,0.44499071100111093,0.6572164182413764,5.720889447045749e-07,-0.5687870308602124,-0.48010443648428563,0.831955843019438,0.44509618041352345,0.6574095788062649,2.0356830370707337e-05,282.9654782524669,0.0
0.05,0.0,-9.195127397881422e-09,-0.5699946452140062,-0.4677790715767207,0.8477784119821801,55,0.4430682037057663,0.654879013811032,4.666966923933042e-07,-0.5692612986642819,-0.4623105449322519,0.8425704480098563,0.443082123667812,0.6548580748636278,0.0,282.9654782524669,0.0
0.101,0.0,-6.620883563642295e-09,-0.5673394643613421,-0.47446055841658913,0.8779257745894058,55,0.4435435872617469,0.6535525066962363,3.439573899922661e-07,-0.5671909231314664,-0.4651740998405004,0.8709753902367846,0.4433046818820048,0.6532453849634873,0.0,282.9654782524669,0.0
0.151,40003.0,0.0587208814998249,-0.566706801701649,-0.3734903396887304,0.9149892709389084,55,0.44302943133022343,0.654621947390712,0.00010094400575493017,-0.5631916718887034,-0.40572355874541416,0.8568354740365429,0.44291721879127016,0.6547055229435788,8.4844833165433e-05,282.9654782524669,0.0
0.201,39443.0,0.06070718183232163,-0.5653046755209822,-0.4773178606997711,0.7986733736503555,55,0.4408519655379491,0.6518330359406738,0.0012879546390694883,-0.5686321946286247,-0.4255114568920898,0.813805542179861,0.44118646085234964,0.6523083335072131,0.0012742563058854243,282.9654782524669,0.0
0.252,39099.0,0.05993738744778311,-0.508636836710245,-0.5834939773231923,0.6990440638185312,55,0.44013269831434365,0.6496073750846364,0.0026678995712037037,-0.5368567705485072,-0.5293081506941143,0.7404487354617351,0.44012981684915103,0.6493829799200742,0.0030029556713074843,282.9654782524669,0.0
0.302,39318.0,0.07606286457912328,-0.4725185493593009,-0.4647886911989381,0.78639992224906,55,0.4386709345309543,0.6483333079300381,0.004172873147587481,-0.48728504410782797,-0.41023555116762944,0.7045513842508083,0.43869587926361925,0.6481751552440888,0.004263178052263044,282.9654782524669,0.0
0.352,39305.0,0.055953248445040495,-0.2806916242977378,-0.7285001046351868,0.9469703568765766,55,0.43746427293910456,0.6468915395939948,0.005154301184058449,-0.30207902073580023,-0.6739643372516191,0.8770166947730637,0.437313938385977,0.6467442087075277,0.005335583582437403,284.7623657512319,0.0
0.402,39665.0,0.006712534844680085,-0.40258728875174654,-0.22698787849160423,1.3385108075383092,55,0.4379034874857528,0.6464900877617904,0.005838992181769075,-0.36861287010679716,-0.2717177176778931,1.426500397879438,0.43763861601107407,0.6463020354116941,0.005824224138820158,284.7623657512319,0.0
0.453,39902.0,0.02991340466647616,-0.5092975583013252,-0.9060917999554197,0.975891612620081,55,0.43789476248533593,0.6470402294570872,0.005682020535996586,-0.49165260860352794,-0.6466559332451626,0.983185907250466,0.43782325157504576,0.6467737520103726,0.005735870658154161,284.7623657512319,0.0
0.503,39794.0,0.03072215880969576,-0.5717430007380023,-1.0957746107498592,1.0444205949961762,55,0.4382492953808076,0.6462415113830979,0.005801821470366497,-0.5482851473423036,-0.8254029475889788,1.0342088113902022,0.43842615652949973,0.6464367914909136,0.005779504403493039,284.7623657512319,0.0
0.553,39487.0,0.03353835848164521,-0.5447348063233665,-0.7476405016007291,0.7002990788820226,55,0.4384026878123273,0.6448545265905137,0.006243680478432541,-0.545533323209506,-0.8524905681836233,0.7445599861443042,0.43855422953819173,0.6448151087033871,0.006386666482353099,284.7623657512319,0.0
